net,length_um
a[0],25.09µm
_21_,23.29µm
_31_,21.92µm
net8,20.56µm
_32_,19.92µm
_11_,19.12µm
a[6],18.89µm
_17_,18.78µm
cin,16.55µm
net3,15.52µm
net16,15.34µm
_22_,14.66µm
net12,14.36µm
_24_,14.1µm
net7,13.88µm
sum[5],13.38µm
_20_,13.36µm
net11,13.29µm
a[1],12.4µm
net4,11.94µm
_13_,11.68µm
_05_,11.56µm
_29_,11.55µm
_28_,11.28µm
_07_,11.12µm
_02_,10.54µm
sum[7],10.37µm
a[2],10.35µm
_18_,10.34µm
sum[2],10.32µm
a[3],10.23µm
b[4],10.13µm
b[0],10.09µm
b[1],9.64µm
a[5],9.51µm
net17,9.32µm
b[3],9.03µm
sum[3],8.96µm
_09_,8.92µm
net1,8.88µm
_04_,8.86µm
cout,8.81µm
sum[0],8.47µm
b[7],8.35µm
_30_,8.02µm
net22,7.44µm
b[2],7.35µm
a[7],7.33µm
sum[6],7.25µm
_35_,7.1µm
net10,6.96µm
_01_,6.4µm
_37_,6.4µm
net20,6.32µm
b[5],6.31µm
_00_,6.26µm
_19_,6.26µm
net15,5.68µm
sum[4],5.41µm
net13,5.38µm
_08_,5.34µm
_10_,5.34µm
b[6],5.31µm
_16_,5.22µm
net9,5.22µm
_14_,5.17µm
net14,5.02µm
a[4],4.95µm
_38_,4.92µm
_26_,4.88µm
net23,4.88µm
net2,4.8µm
sum[1],4.73µm
net5,4.56µm
_06_,4.34µm
_12_,4µm
net26,3.88µm
net21,3.76µm
_03_,3.54µm
_33_,3.08µm
net24,3.08µm
net6,2.62µm
net19,2.52µm
_27_,2.5µm
_36_,2.3µm
_25_,2.04µm
_15_,1.84µm
_34_,1.84µm
net18,1.7µm
net25,1.14µm
_23_,0.46µm
