Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_169,VGND,li1,84.1800,92.4800,0.000145
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000145
FILLER_29_161,VGND,li1,80.9600,92.4800,0.000145
FILLER_29_149,VGND,li1,74.5200,92.4800,0.000143
FILLER_29_141,VGND,li1,72.2200,92.4800,0.000141
FILLER_29_132,VGND,li1,67.1600,92.4800,0.000137
FILLER_29_125,VGND,li1,63.9400,92.4800,0.000133
FILLER_29_118,VGND,li1,60.7200,92.4800,0.000130
FILLER_29_113,VGND,li1,57.9600,92.4800,0.000126
FILLER_29_104,VGND,li1,54.2800,92.4800,0.000118
FILLER_29_98,VGND,li1,51.2900,92.4800,0.000113
FILLER_29_91,VGND,li1,48.0700,92.4800,0.000106
FILLER_29_85,VGND,li1,45.0800,92.4800,0.000099
FILLER_29_83,VGND,li1,43.9300,92.4800,0.000099
FILLER_29_70,VGND,li1,37.9500,92.4800,0.000080
FILLER_29_62,VGND,li1,34.9600,92.4800,0.000074
FILLER_29_57,VGND,li1,32.2000,92.4800,0.000064
FILLER_29_48,VGND,li1,28.5200,92.4800,0.000045
FILLER_29_41,VGND,li1,25.3000,92.4800,0.000038
FILLER_29_29,VGND,li1,21.6200,92.4800,0.000038
FILLER_29_27,VGND,li1,18.1700,92.4800,0.000038
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000038
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000038
FILLER_28_173,VGND,li1,85.7900,87.0400,0.000188
FILLER_28_161,VGND,li1,82.3400,87.0400,0.000186
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000177
FILLER_28_123,VGND,li1,62.3300,87.0400,0.000165
FILLER_28_113,VGND,li1,57.9600,87.0400,0.000158
FILLER_28_85,VGND,li1,44.8500,87.0400,0.000125
FILLER_28_83,VGND,li1,43.9300,87.0400,0.000125
FILLER_28_59,VGND,li1,33.5800,87.0400,0.000091
FILLER_28_49,VGND,li1,28.5200,87.0400,0.000065
FILLER_28_15,VGND,li1,13.8000,87.0400,0.000052
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000052
FILLER_27_169,VGND,li1,83.9500,87.0400,0.000186
FILLER_27_162,VGND,li1,80.5000,87.0400,0.000186
FILLER_27_154,VGND,li1,78.2000,87.0400,0.000184
FILLER_27_150,VGND,li1,74.7500,87.0400,0.000182
FILLER_27_146,VGND,li1,73.6000,87.0400,0.000182
FILLER_27_134,VGND,li1,69.9200,87.0400,0.000177
FILLER_27_123,VGND,li1,62.3300,87.0400,0.000165
FILLER_27_117,VGND,li1,60.7200,87.0400,0.000162
FILLER_27_113,VGND,li1,57.7300,87.0400,0.000158
FILLER_27_111,VGND,li1,56.8100,87.0400,0.000154
FILLER_27_107,VGND,li1,55.6600,87.0400,0.000154
FILLER_27_92,VGND,li1,50.6000,87.0400,0.000143
FILLER_27_80,VGND,li1,45.0800,87.0400,0.000125
FILLER_27_73,VGND,li1,39.5600,87.0400,0.000109
FILLER_27_64,VGND,li1,35.1900,87.0400,0.000098
FILLER_27_45,VGND,li1,26.9100,87.0400,0.000065
FILLER_27_37,VGND,li1,24.3800,87.0400,0.000051
FILLER_27_33,VGND,li1,20.9300,87.0400,0.000051
FILLER_27_27,VGND,li1,19.3200,87.0400,0.000052
FILLER_27_15,VGND,li1,15.1800,87.0400,0.000052
FILLER_27_3,VGND,li1,9.6600,87.0400,0.000052
FILLER_26_150,VGND,li1,74.9800,81.6000,0.000159
FILLER_26_141,VGND,li1,70.8400,81.6000,0.000152
FILLER_26_139,VGND,li1,69.6900,81.6000,0.000149
FILLER_26_135,VGND,li1,68.5400,81.6000,0.000149
FILLER_26_124,VGND,li1,63.4800,81.6000,0.000141
FILLER_26_118,VGND,li1,60.0300,81.6000,0.000132
FILLER_26_114,VGND,li1,58.8800,81.6000,0.000132
FILLER_26_106,VGND,li1,54.9700,81.6000,0.000123
FILLER_26_89,VGND,li1,46.6900,81.6000,0.000104
FILLER_26_85,VGND,li1,45.5400,81.6000,0.000098
FILLER_26_78,VGND,li1,42.7800,81.6000,0.000092
FILLER_26_66,VGND,li1,38.6400,81.6000,0.000081
FILLER_26_54,VGND,li1,33.1200,81.6000,0.000062
FILLER_26_50,VGND,li1,28.7500,81.6000,0.000050
FILLER_26_42,VGND,li1,26.6800,81.6000,0.000043
FILLER_26_37,VGND,li1,23.0000,81.6000,0.000045
FILLER_26_29,VGND,li1,20.7000,81.6000,0.000047
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000048
FILLER_26_15,VGND,li1,15.1800,81.6000,0.000050
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000050
