Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_169,VPWR,li1,84.1800,89.7600,1.799721
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799721
FILLER_29_161,VPWR,li1,80.9600,89.7600,1.799721
FILLER_29_149,VPWR,li1,74.5200,89.7600,1.799724
FILLER_29_141,VPWR,li1,72.2200,89.7600,1.799726
FILLER_29_132,VPWR,li1,67.1600,89.7600,1.799734
FILLER_29_125,VPWR,li1,63.9400,89.7600,1.799740
FILLER_29_118,VPWR,li1,60.7200,89.7600,1.799747
FILLER_29_113,VPWR,li1,57.9600,89.7600,1.799753
FILLER_29_104,VPWR,li1,54.2800,89.7600,1.799766
FILLER_29_98,VPWR,li1,51.2900,89.7600,1.799776
FILLER_29_91,VPWR,li1,48.0700,89.7600,1.799789
FILLER_29_85,VPWR,li1,45.0800,89.7600,1.799800
FILLER_29_83,VPWR,li1,43.9300,89.7600,1.799800
FILLER_29_70,VPWR,li1,37.9500,89.7600,1.799834
FILLER_29_62,VPWR,li1,34.9600,89.7600,1.799845
FILLER_29_57,VPWR,li1,32.2000,89.7600,1.799861
FILLER_29_48,VPWR,li1,28.5200,89.7600,1.799883
FILLER_29_41,VPWR,li1,25.3000,89.7600,1.799903
FILLER_29_29,VPWR,li1,21.6200,89.7600,1.799928
FILLER_29_27,VPWR,li1,18.1700,89.7600,1.799927
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.799927
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799927
FILLER_28_173,VPWR,li1,85.7900,89.7600,1.799721
FILLER_28_161,VPWR,li1,82.3400,89.7600,1.799721
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799730
FILLER_28_123,VPWR,li1,62.3300,89.7600,1.799747
FILLER_28_113,VPWR,li1,57.9600,89.7600,1.799753
FILLER_28_85,VPWR,li1,44.8500,89.7600,1.799800
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.799800
FILLER_28_59,VPWR,li1,33.5800,89.7600,1.799861
FILLER_28_49,VPWR,li1,28.5200,89.7600,1.799883
FILLER_28_15,VPWR,li1,13.8000,89.7600,1.799927
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.799927
FILLER_27_169,VPWR,li1,83.9500,84.3200,1.799831
FILLER_27_162,VPWR,li1,80.5000,84.3200,1.799833
FILLER_27_154,VPWR,li1,78.2000,84.3200,1.799835
FILLER_27_150,VPWR,li1,74.7500,84.3200,1.799839
FILLER_27_146,VPWR,li1,73.6000,84.3200,1.799841
FILLER_27_134,VPWR,li1,69.9200,84.3200,1.799847
FILLER_27_123,VPWR,li1,62.3300,84.3200,1.799859
FILLER_27_117,VPWR,li1,60.7200,84.3200,1.799859
FILLER_27_113,VPWR,li1,57.7300,84.3200,1.799867
