net,length_um
net66,178.26µm
net68,161µm
clknet_2_3__leaf_clk,105.38µm
clknet_2_0__leaf_clk,100.52µm
clknet_2_1__leaf_clk,92.4µm
clknet_2_2__leaf_clk,83.255µm
net67,75.71µm
clk,71.43µm
net33,66.36µm
clknet_0_clk,64.48µm
net59,58.18µm
net69,56.82µm
net37,53.2µm
net54,37.4µm
net26,36.94µm
net41,35.9µm
_149_,29.88µm
net50,29.56µm
_076_,29µm
_088_,27.82µm
_140_,27.44µm
net46,27.02µm
net36,26.92µm
_129_,26.34µm
net44,25.48µm
_155_,25.4µm
_115_,24.6µm
net4,24.22µm
_041_,24µm
net17,23.88µm
_123_,23.76µm
net45,23.72µm
_049_,23.7µm
net42,23.24µm
_085_,22.86µm
net51,22.86µm
net56,22.68µm
_159_,22.605µm
_158_,22.46µm
_090_,22.18µm
_184_,22µm
_176_,21.62µm
_087_,21.46µm
net10,21.16µm
net8,21.04µm
net53,20.84µm
net47,20.64µm
net64,20.58µm
_117_,19.78µm
_058_,19.52µm
_068_,18.98µm
_095_,18.58µm
net13,18.52µm
net38,18.46µm
_188_,18.4µm
_163_,18.32µm
_104_,18.16µm
_055_,17.76µm
_162_,17.74µm
_034_,17.57µm
_065_,17.56µm
net23,17.22µm
_139_,17.04µm
net11,16.96µm
_153_,16.78µm
_157_,16.74µm
_135_,16.715µm
_145_,16.52µm
_125_,16.46µm
_051_,16.3µm
net21,16.18µm
net52,16.14µm
net14,16.06µm
net39,15.94µm
_098_,15.78µm
net43,15.68µm
_183_,15.56µm
net49,15.44µm
_097_,15.28µm
_092_,15.155µm
net6,15.14µm
_143_,14.98µm
_084_,14.5µm
net18,14.43µm
net9,14.26µm
_141_,14.22µm
data_in[0],14.09µm
_032_,14.04µm
acc[12],14µm
_100_,13.8µm
_062_,13.78µm
_178_,13.74µm
_074_,13.62µm
_192_,13.52µm
_111_,13.42µm
_059_,13.38µm
adder.cla_blocks\[1\].block.sum\[2\],13.34µm
net12,13.26µm
_133_,13.18µm
_038_,13.08µm
_079_,13.08µm
acc[27],13.08µm
_132_,13.04µm
_082_,12.8µm
net7,12.795µm
net62,12.78µm
_067_,12.68µm
_169_,12.48µm
_035_,12.475µm
_114_,12.46µm
_148_,12.08µm
_080_,11.98µm
_047_,11.76µm
_171_,11.74µm
net40,11.68µm
net65,11.56µm
net60,11.5µm
adder.cla_blocks\[3\].block.sum\[2\],11.4µm
adder.cla_blocks\[4\].block.sum\[2\],11.38µm
_124_,11.3µm
_165_,11.26µm
acc[24],11.24µm
net31,11.24µm
_064_,11.12µm
net20,11.08µm
_181_,11.04µm
_081_,11µm
data_in[21],11µm
data_in[22],11µm
data_in[23],11µm
data_in[24],11µm
net3,10.98µm
_109_,10.86µm
_187_,10.82µm
adder.cla_blocks\[6\].block.sum\[1\],10.78µm
_105_,10.62µm
_043_,10.32µm
acc[23],10.32µm
acc[26],10.32µm
net35,10.3µm
_137_,10.28µm
acc[1],10.23µm
_182_,10.2µm
_126_,10.145µm
data_in[9],10.1µm
data_in[20],10.08µm
data_in[25],10.08µm
data_in[26],10.08µm
data_in[27],10.08µm
_037_,9.96µm
acc[20],9.86µm
acc[22],9.86µm
acc[25],9.86µm
net5,9.74µm
data_in[10],9.64µm
data_in[12],9.64µm
data_in[14],9.64µm
_102_,9.58µm
_154_,9.34µm
adder.cla_blocks\[0\].block.sum\[1\],9.32µm
net1,9.32µm
net63,9.28µm
_009_,9.23µm
_116_,9.2µm
_075_,9.16µm
adder.cla_blocks\[2\].block.sum\[1\],9.14µm
net32,9.14µm
_196_,9.06µm
_136_,9.04µm
acc[11],8.96µm
acc[14],8.96µm
acc[8],8.96µm
acc[9],8.96µm
_146_,8.94µm
_060_,8.9µm
_099_,8.82µm
net61,8.8µm
data_in[11],8.72µm
data_in[6],8.72µm
data_in[8],8.72µm
adder.cla_blocks\[6\].block.sum\[3\],8.68µm
_039_,8.66µm
net19,8.595µm
net29,8.56µm
_119_,8.51µm
_106_,8.5µm
acc[10],8.5µm
acc[6],8.5µm
adder.cla_blocks\[3\].block.sum\[1\],8.48µm
_069_,8.44µm
_110_,8.44µm
net28,8.44µm
_190_,8.4µm
_179_,8.2µm
_122_,8.135µm
_128_,8.12µm
_175_,8.1µm
acc[3],8.05µm
_056_,8µm
net34,7.98µm
_134_,7.74µm
_077_,7.64µm
_147_,7.58µm
_014_,7.49µm
_046_,7.48µm
_161_,7.48µm
data_in[28],7.47µm
net30,7.46µm
net48,7.42µm
data_in[18],7.33µm
_048_,7.28µm
net16,7.28µm
data_in[3],7.23µm
_093_,7.18µm
_094_,7.18µm
_194_,7.18µm
net58,7.16µm
net25,7.14µm
_101_,6.98µm
_118_,6.98µm
data_in[5],6.91µm
acc[31],6.89µm
data_in[13],6.79µm
data_in[30],6.79µm
rst,6.77µm
adder.cla_blocks\[5\].block.sum\[1\],6.76µm
_070_,6.74µm
_061_,6.64µm
_138_,6.6µm
_172_,6.6µm
_036_,6.52µm
_042_,6.52µm
acc[19],6.43µm
data_in[31],6.43µm
data_in[15],6.31µm
acc[29],6.21µm
acc[4],6.21µm
_103_,6.18µm
_091_,6.14µm
_112_,6.14µm
_189_,6.14µm
data_in[1],6.09µm
net22,6.06µm
_001_,5.94µm
net15,5.82µm
acc[13],5.75µm
acc[18],5.75µm
acc[21],5.75µm
data_in[29],5.75µm
_130_,5.74µm
_167_,5.68µm
_170_,5.68µm
_197_,5.68µm
data_in[17],5.63µm
_052_,5.62µm
net24,5.48µm
_120_,5.34µm
_121_,5.34µm
data_in[19],5.29µm
acc[0],5.19µm
net2,5.14µm
acc[15],5.07µm
acc[16],5.07µm
acc[17],5.07µm
data_in[2],5.07µm
data_in[4],5.07µm
net55,5.02µm
_152_,4.94µm
_131_,4.92µm
adder.cla_blocks\[4\].block.sum\[1\],4.92µm
_063_,4.88µm
_096_,4.88µm
_151_,4.88µm
acc[28],4.85µm
acc[2],4.85µm
acc[30],4.85µm
acc[5],4.85µm
acc[7],4.85µm
_083_,4.76µm
_024_,4.61µm
data_in[16],4.61µm
_142_,4.51µm
_072_,4.46µm
_156_,4.42µm
data_in[7],4.39µm
adder.cla_blocks\[7\].block.sum\[1\],4.34µm
_107_,4.14µm
adder.cla_blocks\[4\].block.sum\[3\],4.12µm
_057_,4µm
_193_,4µm
_150_,3.88µm
_173_,3.82µm
adder.cla_blocks\[2\].block.sum\[2\],3.66µm
_054_,3.64µm
_044_,3.56µm
_066_,3.42µm
_144_,3.42µm
_186_,3.42µm
net27,3.42µm
net57,3.3µm
adder.cla_blocks\[5\].block.sum\[0\],3.225µm
_174_,3.1µm
adder.cla_blocks\[7\].block.sum\[2\],3.1µm
_053_,3.08µm
_086_,3.08µm
adder.cla_blocks\[2\].block.sum\[3\],3.08µm
_004_,3.06µm
_003_,2.84µm
_011_,2.84µm
_013_,2.84µm
_021_,2.84µm
adder.cla_blocks\[0\].block.p\[0\],2.74µm
adder.cla_blocks\[0\].block.sum\[2\],2.74µm
adder.cla_blocks\[5\].block.sum\[3\],2.74µm
_002_,2.69µm
_007_,2.69µm
_010_,2.69µm
adder.cla_blocks\[5\].block.sum\[2\],2.64µm
adder.cla_blocks\[7\].block.sum\[3\],2.64µm
_073_,2.62µm
_071_,2.5µm
_198_,2.5µm
_000_,2.38µm
_028_,2.38µm
adder.cla_blocks\[6\].block.sum\[0\],2.305µm
_160_,2.3µm
_185_,2.3µm
_199_,2.3µm
adder.cla_blocks\[4\].block.sum\[0\],2.3µm
_008_,2.23µm
_016_,2.23µm
_020_,2.23µm
_029_,2.23µm
_017_,2.21µm
_022_,2.21µm
_191_,2.18µm
adder.cla_blocks\[0\].block.sum\[3\],2.18µm
adder.cla_blocks\[6\].block.sum\[2\],2.18µm
_040_,2.16µm
adder.cla_blocks\[1\].block.sum\[3\],2.16µm
_168_,2.06µm
_005_,2.04µm
_023_,2.04µm
_078_,2.04µm
_166_,2.04µm
_195_,2.04µm
adder.cla_blocks\[2\].block.sum\[0\],1.84µm
adder.cla_blocks\[3\].block.sum\[0\],1.84µm
_015_,1.82µm
_025_,1.82µm
_026_,1.82µm
_027_,1.82µm
_030_,1.82µm
adder.cla_blocks\[3\].block.sum\[3\],1.82µm
_012_,1.75µm
_113_,1.72µm
_019_,1.7µm
_045_,1.7µm
_127_,1.7µm
_164_,1.7µm
_180_,1.7µm
adder.cla_blocks\[1\].block.sum\[0\],1.7µm
_177_,1.38µm
_006_,1.36µm
_018_,1.36µm
_031_,1.36µm
adder.cla_blocks\[1\].block.sum\[1\],1.36µm
adder.cla_blocks\[7\].block.sum\[0\],1.36µm
_089_,0.92µm
_108_,0.92µm
_033_,0.46µm
_050_,0.46µm
