net,length_um
net672,450.25µm
clknet_0_clk,440.17µm
clk,233.98µm
net664,188.54µm
clknet_3_2__leaf_clk,185.005µm
clknet_3_5__leaf_clk,140.4µm
net598,132.69µm
clknet_3_4__leaf_clk,124.26µm
clknet_3_6__leaf_clk,123.18µm
net666,105.28µm
net671,103.18µm
addr0\[0\],99.43µm
net595,99.105µm
clknet_3_3__leaf_clk,98.235µm
addr0\[2\],97.74µm
addr0\[1\],95.72µm
net475,95.02µm
net669,94.26µm
net670,92.08µm
addr0\[3\],90.16µm
net620,87.58µm
net604,86.4µm
net593,86.13µm
clknet_3_7__leaf_clk,83.72µm
net668,82.76µm
net562,81.08µm
net667,79.91µm
net557,79.78µm
net625,78.66µm
clknet_3_0__leaf_clk,78.34µm
net553,78.3µm
dout0\[1\],77.07µm
net555,76.78µm
net596,76.575µm
net495,73.75µm
net665,71.6µm
dout0\[2\],71.13µm
net624,70.82µm
net102,69.91µm
dout0\[4\],69.66µm
dout0\[3\],69.57µm
dout0\[5\],68.81µm
dout0\[7\],68.59µm
dout0\[10\],68.54µm
net308,67.42µm
net597,66.785µm
net496,66.755µm
net654,66.55µm
net492,65.64µm
dout0\[6\],65.37µm
clknet_3_1__leaf_clk,63.68µm
net459,63.66µm
net591,63.5µm
net627,62.39µm
net306,60.94µm
net543,60.51µm
net332,60.08µm
_143_,60.01µm
dout0\[0\],59.92µm
net545,59.74µm
net662,59.43µm
dout0\[9\],59.21µm
net651,58.93µm
net424,58.72µm
net20,58.2µm
net491,57.28µm
net454,57.21µm
net483,56.4µm
net626,56.37µm
net592,55.445µm
dout0\[8\],55.36µm
dout0\[11\],55.19µm
wr_data[13],54.96µm
addr0\[7\],54.82µm
_245_,54.43µm
net309,54.34µm
net420,52.69µm
net281,52.6µm
net315,52.48µm
addr0\[6\],52.44µm
addr0\[4\],52.22µm
net72,52.16µm
_249_,52.09µm
net460,51.92µm
net458,51.76µm
net288,51.72µm
net457,51.46µm
net550,51.45µm
net331,51.38µm
net449,50.9µm
net224,50.64µm
net634,50.62µm
net594,50.36µm
net482,50.18µm
net546,50.01µm
wr_data[7],49.76µm
net427,49.76µm
net659,49.57µm
net282,49.48µm
wr_data[11],49.2µm
net637,49.15µm
net108,48.92µm
net391,48.64µm
dout0\[13\],48.55µm
net455,48.54µm
net655,48.15µm
net101,47.65µm
net656,47.53µm
net661,47.34µm
addr0\[5\],47.24µm
net223,47.08µm
acc_core.adder.cla_blocks\[3\].block.sum\[1\],46.76µm
net225,46.4µm
net474,46.08µm
_244_,46.06µm
wr_data[9],46.02µm
net45,45.95µm
_242_,45.81µm
net422,45.47µm
wr_data[5],45.36µm
net36,45.26µm
net74,45.2µm
wr_data[8],44.88µm
net417,44.82µm
net423,44.72µm
net50,44.28µm
wr_data[10],44.14µm
net568,43.84µm
net421,43.66µm
net73,43.49µm
net630,43.23µm
net566,43.22µm
dout0\[12\],43.07µm
net285,43µm
net570,42.98µm
net567,42.94µm
net269,42.78µm
net418,42.58µm
net564,42.54µm
net623,42.12µm
net551,41.94µm
_135_,41.78µm
dout0\[15\],41.71µm
net558,41.48µm
net107,41.43µm
_247_,41.4µm
net658,41.27µm
net649,41.23µm
net559,41.14µm
_130_,41.13µm
_134_,41.11µm
net588,40.9µm
net414,40.64µm
net165,40.56µm
wr_data[12],40.46µm
net248,40.42µm
net560,40.24µm
net600,40.18µm
net329,40µm
net297,39.95µm
net389,39.84µm
_124_,39.74µm
dout0\[14\],39.67µm
net549,39.52µm
net111,39.24µm
net314,39.1µm
net280,38.84µm
net660,38.57µm
net390,38.12µm
dout0\[16\],38.11µm
net629,38.02µm
net289,37.3µm
wr_data[4],37.24µm
dout0_q\[3\],37.16µm
wr_data[6],37.08µm
_153_,37.06µm
net286,37µm
net13,36.94µm
net294,36.8µm
net326,36.8µm
net632,36.77µm
net641,36.6µm
net14,36.56µm
net610,36.52µm
net631,36.47µm
net327,36.4µm
net274,36.32µm
net552,36.24µm
net93,36.22µm
net582,36.16µm
_056_,35.53µm
net657,35.37µm
net42,35.26µm
_055_,35.01µm
net295,34.98µm
wr_data[16],34.94µm
net43,34.82µm
net452,34.78µm
net574,34.78µm
net388,34.68µm
net622,34.66µm
net650,34.65µm
net242,34.6µm
net293,34.6µm
_053_,34.48µm
net304,34.34µm
net290,34.22µm
net607,34.08µm
net103,34.06µm
_165_,33.97µm
wr_data[18],33.86µm
net37,33.84µm
wr_data[3],33.78µm
net653,33.74µm
net71,33.56µm
net95,33.56µm
net648,33.51µm
dout0\[17\],33.47µm
net628,33.42µm
wr_data[19],33.4µm
_137_,33.32µm
net548,33.24µm
net601,33.1µm
net267,32.96µm
net640,32.96µm
net644,32.95µm
net673,32.88µm
_156_,32.74µm
net49,32.6µm
net271,32.58µm
net317,32.55µm
net395,32.46µm
net413,32.42µm
net608,32.36µm
net636,32.09µm
dout0_q\[6\],32µm
net393,31.8µm
_161_,31.71µm
net646,31.71µm
net318,31.66µm
net547,31.66µm
net639,31.65µm
_219_,31.64µm
net324,31.64µm
_116_,31.54µm
_208_,31.54µm
dout0\[18\],31.47µm
net448,31.3µm
_146_,31.26µm
net325,31.18µm
net52,30.655µm
net387,30.58µm
_151_,30.54µm
net486,30.46µm
net462,30.42µm
net174,30.4µm
net599,30.2µm
wr_data[17],30.18µm
net406,30.18µm
net1,30.16µm
_154_,30.12µm
wr_data[15],29.88µm
net310,29.88µm
net301,29.82µm
net355,29.8µm
net541,29.56µm
net405,29.44µm
net583,29.42µm
net433,29.41µm
net579,29.38µm
web0,29.36µm
_158_,29.32µm
net127,29.26µm
_148_,29.22µm
net576,29.18µm
net638,29.04µm
net12,28.96µm
net38,28.92µm
net292,28.9µm
dout0\[20\],28.83µm
dout0\[29\],28.72µm
dout0\[30\],28.63µm
net394,28.6µm
net372,28.5µm
_201_,28.42µm
wr_data[2],28.4µm
net381,28.28µm
net57,27.98µm
net647,27.84µm
_164_,27.8µm
net642,27.72µm
net436,27.66µm
net319,27.64µm
net376,27.63µm
_139_,27.62µm
net635,27.61µm
net321,27.58µm
net540,27.5µm
net606,27.48µm
net298,27.28µm
dout0_q\[1\],27.22µm
net6,27.16µm
net375,27.04µm
_149_,26.98µm
net408,26.98µm
wr_data[20],26.96µm
_248_,26.955µm
_052_,26.91µm
net585,26.82µm
net169,26.8µm
net106,26.74µm
net164,26.72µm
net4,26.6µm
_207_,26.48µm
net168,26.48µm
net279,26.46µm
net544,26.32µm
net316,26.3µm
net354,26.28µm
_251_,26.24µm
net270,26.06µm
net9,25.92µm
dout0\[31\],25.815µm
net453,25.78µm
net48,25.72µm
dout0\[28\],25.71µm
_209_,25.7µm
dout0\[19\],25.67µm
net8,25.58µm
net220,25.58µm
dout0_q\[16\],25.51µm
net134,25.5µm
net435,25.48µm
net663,25.39µm
net401,25.37µm
net5,25.34µm
net434,25.22µm
net120,25.1µm
net409,25.1µm
net257,25.08µm
net263,25.06µm
net22,24.98µm
net264,24.93µm
dout0_q\[4\],24.92µm
net161,24.9µm
net166,24.88µm
wr_data[14],24.82µm
wr_data[1],24.82µm
net428,24.81µm
net463,24.81µm
net51,24.8µm
net68,24.8µm
net532,24.78µm
net378,24.74µm
_140_,24.7µm
net643,24.69µm
net60,24.64µm
dout0_q\[0\],24.6µm
net645,24.6µm
dout0\[25\],24.47µm
net222,24.44µm
net487,24.44µm
net377,24.4µm
net469,24.3µm
net384,24.16µm
net250,24.06µm
net431,23.98µm
net287,23.92µm
net162,23.9µm
dout0\[22\],23.81µm
_166_,23.5µm
wr_data[0],23.46µm
net396,23.38µm
net563,23.24µm
net577,23.2µm
net584,23.18µm
dout0\[21\],23.15µm
_211_,23.14µm
net278,23.12µm
net39,23.1µm
_051_,22.87µm
net87,22.84µm
dout0_q\[26\],22.76µm
_236_,22.64µm
dout0\[27\],22.63µm
net590,22.62µm
net439,22.58µm
net466,22.58µm
_131_,22.48µm
net364,22.32µm
_054_,22.31µm
wr_data[31],22.26µm
net312,22.24µm
net633,22.21µm
_060_,22.19µm
net265,22.17µm
net3,22.16µm
net99,22.06µm
net373,22.01µm
_157_,21.9µm
net397,21.75µm
net247,21.7µm
net374,21.58µm
_117_,21.54µm
dout0_q\[15\],21.53µm
net542,21.44µm
net16,21.42µm
net236,21.32µm
net465,21.31µm
net7,21.26µm
_202_,21.23µm
_136_,21.12µm
net443,21.12µm
net232,21.1µm
net328,20.98µm
net121,20.8µm
net23,20.78µm
net47,20.78µm
net438,20.78µm
net330,20.76µm
net430,20.76µm
dout0_q\[10\],20.7µm
net63,20.68µm
_025_,20.6µm
net403,20.48µm
net86,20.42µm
net399,20.41µm
net461,20.36µm
_082_,20.32µm
net69,20.32µm
net471,20.2µm
net347,20.18µm
net621,20.14µm
net359,20.07µm
net561,19.98µm
net441,19.94µm
net258,19.92µm
