Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_255_1513,VPWR,li1,701.9600,704.4800,1.800000
FILLER_255_1509,VPWR,li1,700.3500,704.4800,1.800000
FILLER_255_1497,VPWR,li1,696.9000,704.4800,1.800000
FILLER_255_1485,VPWR,li1,691.3800,704.4800,1.800000
FILLER_255_1481,VPWR,li1,687.4700,704.4800,1.800000
FILLER_255_1469,VPWR,li1,684.0200,704.4800,1.800000
FILLER_255_1457,VPWR,li1,678.5000,704.4800,1.800000
FILLER_255_1453,VPWR,li1,674.5900,704.4800,1.800000
FILLER_255_1441,VPWR,li1,671.1400,704.4800,1.800000
FILLER_255_1429,VPWR,li1,665.6200,704.4800,1.800000
FILLER_255_1425,VPWR,li1,661.7100,704.4800,1.800000
FILLER_255_1413,VPWR,li1,658.2600,704.4800,1.800000
FILLER_255_1401,VPWR,li1,652.7400,704.4800,1.800000
FILLER_255_1397,VPWR,li1,648.8300,704.4800,1.800000
FILLER_255_1385,VPWR,li1,645.3800,704.4800,1.800000
FILLER_255_1373,VPWR,li1,639.8600,704.4800,1.800000
FILLER_255_1369,VPWR,li1,635.9500,704.4800,1.800000
FILLER_255_1357,VPWR,li1,632.5000,704.4800,1.800000
FILLER_255_1345,VPWR,li1,626.9800,704.4800,1.800000
FILLER_255_1341,VPWR,li1,623.0700,704.4800,1.800000
FILLER_255_1329,VPWR,li1,619.6200,704.4800,1.800000
FILLER_255_1317,VPWR,li1,614.1000,704.4800,1.800000
FILLER_255_1313,VPWR,li1,610.1900,704.4800,1.800000
FILLER_255_1301,VPWR,li1,606.7400,704.4800,1.800000
FILLER_255_1289,VPWR,li1,601.2200,704.4800,1.800000
FILLER_255_1285,VPWR,li1,597.3100,704.4800,1.800000
FILLER_255_1273,VPWR,li1,593.8600,704.4800,1.800000
FILLER_255_1261,VPWR,li1,588.3400,704.4800,1.800000
FILLER_255_1257,VPWR,li1,584.4300,704.4800,1.800000
FILLER_255_1245,VPWR,li1,580.9800,704.4800,1.800000
FILLER_255_1233,VPWR,li1,575.4600,704.4800,1.800000
FILLER_255_1229,VPWR,li1,571.5500,704.4800,1.800000
FILLER_255_1217,VPWR,li1,568.1000,704.4800,1.800000
FILLER_255_1205,VPWR,li1,562.5800,704.4800,1.800000
FILLER_255_1201,VPWR,li1,558.6700,704.4800,1.800000
FILLER_255_1189,VPWR,li1,555.2200,704.4800,1.800000
FILLER_255_1177,VPWR,li1,549.7000,704.4800,1.800000
FILLER_255_1173,VPWR,li1,545.7900,704.4800,1.800000
FILLER_255_1161,VPWR,li1,542.3400,704.4800,1.800000
FILLER_255_1149,VPWR,li1,536.8200,704.4800,1.800000
FILLER_255_1145,VPWR,li1,532.9100,704.4800,1.800000
FILLER_255_1133,VPWR,li1,529.4600,704.4800,1.800000
FILLER_255_1121,VPWR,li1,523.9400,704.4800,1.800000
FILLER_255_1117,VPWR,li1,520.0300,704.4800,1.800000
FILLER_255_1105,VPWR,li1,516.5800,704.4800,1.800000
FILLER_255_1093,VPWR,li1,511.0600,704.4800,1.800000
FILLER_255_1089,VPWR,li1,507.1500,704.4800,1.800000
FILLER_255_1077,VPWR,li1,503.7000,704.4800,1.800000
FILLER_255_1065,VPWR,li1,498.1800,704.4800,1.800000
FILLER_255_1061,VPWR,li1,494.2700,704.4800,1.800000
FILLER_255_1049,VPWR,li1,490.8200,704.4800,1.800000
FILLER_255_1037,VPWR,li1,485.3000,704.4800,1.800000
FILLER_255_1033,VPWR,li1,481.3900,704.4800,1.800000
FILLER_255_1021,VPWR,li1,477.9400,704.4800,1.800000
FILLER_255_1009,VPWR,li1,472.4200,704.4800,1.800000
FILLER_255_1005,VPWR,li1,468.5100,704.4800,1.800000
FILLER_255_993,VPWR,li1,465.0600,704.4800,1.800000
FILLER_255_981,VPWR,li1,459.5400,704.4800,1.800000
FILLER_255_977,VPWR,li1,455.6300,704.4800,1.800000
FILLER_255_965,VPWR,li1,452.1800,704.4800,1.800000
FILLER_255_953,VPWR,li1,446.6600,704.4800,1.800000
FILLER_255_949,VPWR,li1,442.7500,704.4800,1.800000
FILLER_255_937,VPWR,li1,439.3000,704.4800,1.800000
FILLER_255_925,VPWR,li1,433.7800,704.4800,1.800000
FILLER_255_921,VPWR,li1,429.8700,704.4800,1.800000
FILLER_255_909,VPWR,li1,426.4200,704.4800,1.800000
FILLER_255_897,VPWR,li1,420.9000,704.4800,1.800000
FILLER_255_893,VPWR,li1,416.9900,704.4800,1.800000
FILLER_255_881,VPWR,li1,413.5400,704.4800,1.800000
FILLER_255_869,VPWR,li1,408.0200,704.4800,1.800000
FILLER_255_865,VPWR,li1,404.1100,704.4800,1.800000
FILLER_255_853,VPWR,li1,400.6600,704.4800,1.800000
FILLER_255_841,VPWR,li1,395.1400,704.4800,1.800000
FILLER_255_837,VPWR,li1,391.2300,704.4800,1.800000
FILLER_255_825,VPWR,li1,387.7800,704.4800,1.800000
FILLER_255_813,VPWR,li1,382.2600,704.4800,1.800000
FILLER_255_809,VPWR,li1,378.3500,704.4800,1.800000
FILLER_255_797,VPWR,li1,374.9000,704.4800,1.800000
FILLER_255_785,VPWR,li1,369.3800,704.4800,1.800000
FILLER_255_781,VPWR,li1,365.4700,704.4800,1.800000
FILLER_255_769,VPWR,li1,362.0200,704.4800,1.800000
FILLER_255_757,VPWR,li1,356.5000,704.4800,1.800000
FILLER_255_753,VPWR,li1,352.5900,704.4800,1.800000
FILLER_255_741,VPWR,li1,349.1400,704.4800,1.800000
FILLER_255_729,VPWR,li1,343.6200,704.4800,1.800000
FILLER_255_725,VPWR,li1,339.7100,704.4800,1.800000
FILLER_255_713,VPWR,li1,336.2600,704.4800,1.800000
FILLER_255_701,VPWR,li1,330.7400,704.4800,1.800000
FILLER_255_697,VPWR,li1,326.8300,704.4800,1.800000
FILLER_255_685,VPWR,li1,323.3800,704.4800,1.800000
FILLER_255_673,VPWR,li1,317.8600,704.4800,1.800000
FILLER_255_669,VPWR,li1,313.9500,704.4800,1.800000
FILLER_255_657,VPWR,li1,310.5000,704.4800,1.800000
FILLER_255_645,VPWR,li1,304.9800,704.4800,1.800000
FILLER_255_641,VPWR,li1,301.0700,704.4800,1.800000
FILLER_255_629,VPWR,li1,297.6200,704.4800,1.800000
FILLER_255_617,VPWR,li1,292.1000,704.4800,1.800000
FILLER_255_613,VPWR,li1,288.1900,704.4800,1.800000
FILLER_255_601,VPWR,li1,284.7400,704.4800,1.800000
FILLER_255_589,VPWR,li1,279.2200,704.4800,1.800000
FILLER_255_585,VPWR,li1,275.3100,704.4800,1.800000
FILLER_255_573,VPWR,li1,271.8600,704.4800,1.800000
FILLER_255_561,VPWR,li1,266.3400,704.4800,1.800000
FILLER_255_557,VPWR,li1,262.4300,704.4800,1.800000
