Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,406
design__instance__area,2746.38
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003101267502643168
power__switching__total,0.0002820941444952041
power__leakage__total,2.8857261025194703E-9
power__total,0.000592223834246397
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25363481477427113
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2536555481898424
timing__hold__ws__corner:nom_tt_025C_1v80,0.338294568600072
timing__setup__ws__corner:nom_tt_025C_1v80,12.822395064214746
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.338295
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2556357142769911
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25565586482545793
timing__hold__ws__corner:nom_ss_100C_1v60,0.9058227202485478
timing__setup__ws__corner:nom_ss_100C_1v60,9.748243377325181
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.905823
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25306965572760187
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25309080547681917
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12393719734625604
timing__setup__ws__corner:nom_ff_n40C_1v95,13.989496179666952
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123937
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25268599039501627
clock__skew__worst_setup,0.2526990910270773
timing__hold__ws,0.1218069013463564
timing__setup__ws,9.709368694973875
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121807
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 78.57 89.29
design__core__bbox,5.52 10.88 72.68 76.16
design__io,68
design__die__area,7015.52
design__core__area,4384.2
design__instance__count__stdcell,406
design__instance__area__stdcell,2746.38
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.626427
design__instance__utilization__stdcell,0.626427
design__instance__count__class:inverter,35
design__instance__count__class:sequential_cell,32
design__instance__count__class:multi_input_combinational_cell,197
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,308
design__instance__count__class:tap_cell,65
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,66
design__io__hpwl,2037705
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,4415.08
design__violations,0
design__instance__count__class:timing_repair_buffer,69
design__instance__count__class:clock_buffer,8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,372
route__net__special,2
route__drc_errors__iter:1,76
route__wirelength__iter:1,4490
route__drc_errors__iter:2,33
route__wirelength__iter:2,4484
route__drc_errors__iter:3,41
route__wirelength__iter:3,4496
route__drc_errors__iter:4,8
route__wirelength__iter:4,4521
route__drc_errors__iter:5,0
route__wirelength__iter:5,4521
route__drc_errors,0
route__wirelength,4521
route__vias,1911
route__vias__singlecut,1911
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,141.95
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25337782589237784
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25339056570194574
timing__hold__ws__corner:min_tt_025C_1v80,0.3350420591351429
timing__setup__ws__corner:min_tt_025C_1v80,12.853043437810134
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.335042
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
