net,length_um
net68,133.38µm
net66,94.83µm
clknet_2_1__leaf_clk,88.62µm
net33,88.43µm
clknet_2_2__leaf_clk,66.68µm
clk,61.07µm
clknet_0_clk,59.7µm
clknet_2_0__leaf_clk,57.52µm
clknet_2_3__leaf_clk,56.25µm
net69,47.18µm
net43,45.1µm
_158_,43.5µm
net34,41.38µm
net65,40.49µm
net57,38.08µm
net62,37.76µm
net41,37.2µm
net67,36.98µm
_163_,36.78µm
data_in[7],36.61µm
data_in[31],36.41µm
net44,35.88µm
data_in[14],35.24µm
_081_,35.13µm
data_in[29],34.51µm
net36,34.02µm
net4,33.9µm
_088_,33.67µm
acc[9],33.66µm
_083_,33.48µm
_101_,32.48µm
net24,32.32µm
_056_,32.26µm
data_in[12],32.17µm
_194_,31.98µm
_100_,31.83µm
net29,31.01µm
_005_,30.9µm
_085_,30.78µm
net22,30.76µm
net54,30.5µm
_090_,30.02µm
net19,29.94µm
_086_,29.84µm
data_in[26],29.28µm
data_in[10],29.11µm
_157_,28.96µm
net30,28.68µm
net37,28.56µm
net25,28.36µm
net64,28.36µm
net21,28.22µm
net63,28.22µm
_102_,27.74µm
data_in[27],27.44µm
net26,26.82µm
net46,26.72µm
data_in[13],26.67µm
_104_,26.44µm
net50,26.08µm
data_in[6],25.66µm
net55,25.6µm
_082_,24.5µm
acc[4],23.87µm
net59,23.3µm
_129_,23.12µm
_140_,23.06µm
adder.cla_blocks\[1\].block.sum\[2\],23.06µm
_068_,23.04µm
_058_,23.02µm
_087_,22.7µm
net52,22.7µm
net23,22.68µm
_159_,22.625µm
net45,22.6µm
net35,22.48µm
acc[11],22.28µm
data_in[30],22.21µm
data_in[5],21.83µm
acc[7],21.77µm
net39,21.64µm
data_in[17],21.57µm
_032_,21.26µm
_105_,21.18µm
net53,20.98µm
net56,20.79µm
_141_,20.76µm
_014_,20.63µm
net40,20.54µm
_004_,20.51µm
_055_,20.5µm
net9,20.29µm
net42,20.23µm
_034_,20.02µm
data_in[2],19.71µm
net5,19.3µm
net61,19.16µm
_143_,19.04µm
acc[6],18.96µm
_097_,18.9µm
acc[26],18.56µm
_109_,18.5µm
net60,18.4µm
_069_,18.16µm
_155_,17.96µm
net1,17.64µm
net6,17.62µm
_192_,17.6µm
data_in[15],17.38µm
net2,17.36µm
_038_,17.315µm
_195_,17.14µm
acc[8],17.1µm
_162_,17.02µm
_111_,16.96µm
net8,16.46µm
net48,16.4µm
_049_,16.14µm
data_in[9],16.08µm
net28,15.96µm
data_in[25],15.92µm
_098_,15.9µm
_149_,15.9µm
data_in[28],15.71µm
net38,15.66µm
data_in[23],15.46µm
_190_,15.35µm
_041_,15.2µm
net32,15.18µm
_153_,15.13µm
data_in[11],15.08µm
_043_,15.04µm
_007_,15.01µm
_076_,14.92µm
_106_,14.88µm
acc[0],14.81µm
acc[30],14.81µm
_146_,14.78µm
_103_,14.64µm
_139_,14.4µm
data_in[24],14.18µm
net20,14.16µm
_047_,14.04µm
data_in[4],13.99µm
acc[25],13.94µm
net17,13.88µm
net10,13.72µm
data_in[22],13.64µm
_145_,13.63µm
_035_,13.62µm
_093_,13.46µm
_125_,13.42µm
_044_,13.4µm
adder.cla_blocks\[4\].block.sum\[3\],13.4µm
net51,13.36µm
net47,13.3µm
_188_,13.08µm
net3,13.02µm
_179_,12.98µm
_133_,12.96µm
net7,12.8µm
data_in[8],12.7µm
acc[24],12.62µm
acc[27],12.62µm
_065_,12.58µm
_080_,12.52µm
_135_,12.52µm
_123_,12.5µm
acc[10],12.18µm
acc[18],12.15µm
_074_,12.12µm
_079_,12.1µm
_116_,12.04µm
_099_,11.88µm
_183_,11.82µm
data_in[0],11.77µm
net27,11.74µm
data_in[21],11.71µm
_178_,11.69µm
_184_,11.62µm
acc[19],11.61µm
_042_,11.46µm
_095_,11.42µm
_051_,11.34µm
net31,11.26µm
_072_,11.2µm
adder.cla_blocks\[4\].block.sum\[1\],11.14µm
_027_,10.93µm
_176_,10.88µm
_132_,10.78µm
_033_,10.76µm
_128_,10.76µm
rst,10.73µm
net18,10.675µm
net58,10.38µm
_064_,10.32µm
_126_,10.14µm
_063_,9.94µm
acc[23],9.86µm
_048_,9.8µm
_122_,9.7µm
net12,9.66µm
_191_,9.6µm
_092_,9.515µm
_118_,9.48µm
_166_,9.46µm
adder.cla_blocks\[2\].block.sum\[2\],9.46µm
_199_,9.4µm
_057_,9.34µm
_142_,9.27µm
_059_,9.16µm
_196_,8.84µm
net13,8.8µm
_114_,8.78µm
_062_,8.73µm
acc[28],8.71µm
adder.cla_blocks\[6\].block.sum\[1\],8.62µm
_181_,8.56µm
net11,8.56µm
_121_,8.52µm
acc[15],8.5µm
data_in[3],8.49µm
_119_,8.48µm
acc[13],8.47µm
acc[21],8.47µm
_070_,8.44µm
_075_,8.44µm
_187_,8.36µm
acc[14],8.27µm
acc[22],8.27µm
adder.cla_blocks\[2\].block.sum\[3\],8.225µm
_015_,8.19µm
adder.cla_blocks\[4\].block.sum\[2\],8.16µm
_160_,8.14µm
net15,8.1µm
_136_,8.04µm
_186_,7.92µm
_028_,7.78µm
_067_,7.78µm
_147_,7.78µm
net16,7.74µm
net49,7.74µm
adder.cla_blocks\[7\].block.sum\[3\],7.56µm
_084_,7.52µm
_089_,7.48µm
data_in[20],7.47µm
data_in[16],7.35µm
adder.cla_blocks\[0\].block.sum\[3\],7.34µm
_096_,7.2µm
_154_,7.18µm
_171_,7.18µm
_175_,7.18µm
acc[3],7.15µm
_060_,6.98µm
_138_,6.94µm
_071_,6.86µm
_030_,6.8µm
_091_,6.72µm
_115_,6.72µm
adder.cla_blocks\[1\].block.sum\[0\],6.72µm
_124_,6.71µm
_151_,6.6µm
_036_,6.52µm
_018_,6.45µm
data_in[1],6.33µm
_078_,6.26µm
acc[12],6.23µm
acc[5],6.21µm
adder.cla_blocks\[5\].block.sum\[3\],6.18µm
_137_,6.16µm
_108_,6.14µm
_189_,6.14µm
_120_,5.8µm
acc[17],5.75µm
_134_,5.72µm
adder.cla_blocks\[5\].block.sum\[2\],5.72µm
_011_,5.68µm
_031_,5.65µm
_148_,5.56µm
_174_,5.4µm
_112_,5.38µm
_161_,5.38µm
adder.cla_blocks\[7\].block.sum\[1\],5.38µm
_046_,5.34µm
_054_,5.34µm
_170_,5.34µm
_180_,5.34µm
_039_,5.24µm
acc[20],5.07µm
_094_,5.02µm
data_in[18],4.95µm
data_in[19],4.95µm
_029_,4.93µm
net14,4.92µm
_012_,4.88µm
adder.cla_blocks\[1\].block.sum\[1\],4.88µm
_040_,4.8µm
acc[16],4.73µm
_037_,4.7µm
acc[1],4.61µm
adder.cla_blocks\[0\].block.sum\[2\],4.605µm
_052_,4.56µm
_077_,4.56µm
adder.cla_blocks\[3\].block.sum\[3\],4.54µm
adder.cla_blocks\[6\].block.sum\[3\],4.54µm
_197_,4.48µm
adder.cla_blocks\[0\].block.sum\[1\],4.34µm
adder.cla_blocks\[1\].block.sum\[3\],4.34µm
_173_,4.28µm
acc[31],4.27µm
_022_,4.25µm
_117_,4.22µm
_110_,4.1µm
_167_,4.08µm
_061_,4µm
acc[29],3.93µm
acc[2],3.93µm
_152_,3.88µm
_168_,3.88µm
adder.cla_blocks\[5\].block.sum\[0\],3.845µm
