Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_78,VGND,li1,42.0900,48.9600,0.000018
FILLER_13_70,VGND,li1,39.5600,48.9600,0.000018
FILLER_13_65,VGND,li1,35.6500,48.9600,0.000018
FILLER_13_57,VGND,li1,33.5800,48.9600,0.000017
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000015
FILLER_13_41,VGND,li1,25.3000,48.9600,0.000012
FILLER_13_35,VGND,li1,22.3100,48.9600,0.000013
FILLER_13_29,VGND,li1,19.3200,48.9600,0.000013
FILLER_13_27,VGND,li1,18.1700,48.9600,0.000013
FILLER_13_15,VGND,li1,15.1800,48.9600,0.000013
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000013
FILLER_12_79,VGND,li1,42.3200,43.5200,0.000045
FILLER_12_58,VGND,li1,32.4300,43.5200,0.000041
FILLER_12_50,VGND,li1,28.7500,43.5200,0.000038
FILLER_12_29,VGND,li1,19.3200,43.5200,0.000039
FILLER_12_7,VGND,li1,8.9700,43.5200,0.000042
FILLER_12_3,VGND,li1,7.8200,43.5200,0.000042
FILLER_11_73,VGND,li1,39.5600,43.5200,0.000045
FILLER_11_69,VGND,li1,37.4900,43.5200,0.000044
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000043
FILLER_11_35,VGND,li1,21.8500,43.5200,0.000038
FILLER_11_23,VGND,li1,18.8600,43.5200,0.000039
FILLER_11_19,VGND,li1,14.4900,43.5200,0.000042
FILLER_11_15,VGND,li1,13.3400,43.5200,0.000042
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000042
FILLER_10_75,VGND,li1,40.7100,38.0800,0.000025
FILLER_10_67,VGND,li1,38.1800,38.0800,0.000024
FILLER_10_55,VGND,li1,33.5800,38.0800,0.000021
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000017
FILLER_10_15,VGND,li1,15.1800,38.0800,0.000017
FILLER_10_3,VGND,li1,9.6600,38.0800,0.000017
FILLER_9_69,VGND,li1,37.4900,38.0800,0.000024
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000021
FILLER_9_48,VGND,li1,29.4400,38.0800,0.000018
FILLER_9_36,VGND,li1,23.9200,38.0800,0.000016
FILLER_9_27,VGND,li1,19.3200,38.0800,0.000017
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000017
