Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_78,VPWR,li1,42.0900,46.2400,1.799948
FILLER_13_70,VPWR,li1,39.5600,46.2400,1.799948
FILLER_13_65,VPWR,li1,35.6500,46.2400,1.799948
FILLER_13_57,VPWR,li1,33.5800,46.2400,1.799951
FILLER_13_54,VPWR,li1,30.8200,46.2400,1.799953
FILLER_13_41,VPWR,li1,25.3000,46.2400,1.799962
FILLER_13_35,VPWR,li1,22.3100,46.2400,1.799966
FILLER_13_29,VPWR,li1,19.3200,46.2400,1.799968
FILLER_13_27,VPWR,li1,18.1700,46.2400,1.799968
FILLER_13_15,VPWR,li1,15.1800,46.2400,1.799965
FILLER_13_3,VPWR,li1,9.6600,46.2400,1.799965
FILLER_12_79,VPWR,li1,42.3200,46.2400,1.799948
FILLER_12_58,VPWR,li1,32.4300,46.2400,1.799951
FILLER_12_50,VPWR,li1,28.7500,46.2400,1.799956
FILLER_12_29,VPWR,li1,19.3200,46.2400,1.799968
FILLER_12_7,VPWR,li1,8.9700,46.2400,1.799965
FILLER_12_3,VPWR,li1,7.8200,46.2400,1.799965
FILLER_11_73,VPWR,li1,39.5600,40.8000,1.799965
FILLER_11_69,VPWR,li1,37.4900,40.8000,1.799965
FILLER_11_57,VPWR,li1,34.5000,40.8000,1.799966
FILLER_11_35,VPWR,li1,21.8500,40.8000,1.799978
FILLER_11_23,VPWR,li1,18.8600,40.8000,1.799978
FILLER_11_19,VPWR,li1,14.4900,40.8000,1.799978
FILLER_11_15,VPWR,li1,13.3400,40.8000,1.799978
FILLER_11_3,VPWR,li1,9.6600,40.8000,1.799978
FILLER_10_75,VPWR,li1,40.7100,40.8000,1.799965
FILLER_10_67,VPWR,li1,38.1800,40.8000,1.799965
FILLER_10_55,VPWR,li1,33.5800,40.8000,1.799966
FILLER_10_27,VPWR,li1,18.1700,40.8000,1.799978
FILLER_10_15,VPWR,li1,15.1800,40.8000,1.799978
FILLER_10_3,VPWR,li1,9.6600,40.8000,1.799978
FILLER_9_69,VPWR,li1,37.4900,35.3600,1.799960
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799963
FILLER_9_48,VPWR,li1,29.4400,35.3600,1.799971
FILLER_9_36,VPWR,li1,23.9200,35.3600,1.799978
FILLER_9_27,VPWR,li1,19.3200,35.3600,1.799982
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799982
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799982
FILLER_8_49,VPWR,li1,28.5200,35.3600,1.799971
FILLER_8_41,VPWR,li1,26.2200,35.3600,1.799974
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799982
FILLER_8_26,VPWR,li1,17.9400,35.3600,1.799982
FILLER_8_18,VPWR,li1,15.6400,35.3600,1.799982
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799982
FILLER_7_69,VPWR,li1,39.1000,29.9200,1.799945
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799946
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799948
FILLER_7_34,VPWR,li1,21.3900,29.9200,1.799961
FILLER_7_30,VPWR,li1,20.2400,29.9200,1.799959
FILLER_6_77,VPWR,li1,41.1700,29.9200,1.799943
FILLER_6_69,VPWR,li1,37.7200,29.9200,1.799945
FILLER_6_57,VPWR,li1,34.5000,29.9200,1.799946
FILLER_6_45,VPWR,li1,27.1400,29.9200,1.799951
FILLER_6_41,VPWR,li1,24.6100,29.9200,1.799956
FILLER_6_37,VPWR,li1,23.4600,29.9200,1.799956
FILLER_6_32,VPWR,li1,20.7000,29.9200,1.799959
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799955
FILLER_6_23,VPWR,li1,17.0200,29.9200,1.799955
FILLER_6_10,VPWR,li1,11.9600,29.9200,1.799949
FILLER_5_57,VPWR,li1,32.6600,24.4800,1.799969
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799969
FILLER_5_48,VPWR,li1,28.5200,24.4800,1.799971
FILLER_5_25,VPWR,li1,17.7100,24.4800,1.799981
FILLER_5_17,VPWR,li1,15.1800,24.4800,1.799981
FILLER_5_3,VPWR,li1,8.7400,24.4800,1.799980
FILLER_4_62,VPWR,li1,34.5000,24.4800,1.799967
FILLER_4_41,VPWR,li1,24.6100,24.4800,1.799977
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799982
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799981
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.799981
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.799980
FILLER_3_80,VPWR,li1,42.5500,19.0400,1.799954
FILLER_3_76,VPWR,li1,41.4000,19.0400,1.799954
FILLER_3_64,VPWR,li1,37.7200,19.0400,1.799955
FILLER_3_53,VPWR,li1,30.5900,19.0400,1.799957
FILLER_3_45,VPWR,li1,28.0600,19.0400,1.799961
FILLER_3_33,VPWR,li1,23.4600,19.0400,1.799973
FILLER_3_3,VPWR,li1,7.8200,19.0400,1.799968
FILLER_2_75,VPWR,li1,40.4800,19.0400,1.799954
FILLER_2_67,VPWR,li1,38.1800,19.0400,1.799955
FILLER_2_42,VPWR,li1,25.3000,19.0400,1.799967
FILLER_2_29,VPWR,li1,19.0900,19.0400,1.799970
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799970
FILLER_2_15,VPWR,li1,15.1800,19.0400,1.799969
FILLER_2_3,VPWR,li1,9.6600,19.0400,1.799968
FILLER_1_52,VPWR,li1,29.6700,13.6000,1.799980
FILLER_1_48,VPWR,li1,27.8300,13.6000,1.799982
FILLER_1_33,VPWR,li1,20.9300,13.6000,1.799987
FILLER_1_27,VPWR,li1,19.3200,13.6000,1.799987
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799987
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799987
FILLER_0_77,VPWR,li1,41.8600,13.6000,1.799976
FILLER_0_62,VPWR,li1,36.8000,13.6000,1.799976
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799979
FILLER_0_50,VPWR,li1,28.9800,13.6000,1.799980
FILLER_0_42,VPWR,li1,26.6800,13.6000,1.799982
FILLER_0_34,VPWR,li1,22.0800,13.6000,1.799987
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799987
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799987
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799987
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799987
clkbuf_1_1__f_clk,VPWR,li1,26.6800,40.8000,1.799967
clkbuf_1_0__f_clk,VPWR,li1,30.3600,19.0400,1.799957
clkbuf_0_clk,VPWR,li1,26.2200,29.9200,1.799951
output17,VPWR,li1,41.8600,35.3600,1.799957
output16,VPWR,li1,36.8000,46.2400,1.799948
output15,VPWR,li1,20.7000,46.2400,1.799969
output14,VPWR,li1,41.8600,29.9200,1.799943
output13,VPWR,li1,7.8200,29.9200,1.799946
output12,VPWR,li1,23.9200,13.6000,1.799985
output11,VPWR,li1,41.8600,19.0400,1.799954
output10,VPWR,li1,41.8600,24.4800,1.799965
input9,VPWR,li1,41.4000,40.8000,1.799965
input8,VPWR,li1,42.0900,40.8000,1.799965
input7,VPWR,li1,29.6700,46.2400,1.799956
input6,VPWR,li1,23.6900,46.2400,1.799966
input5,VPWR,li1,42.0900,29.9200,1.799943
input4,VPWR,li1,9.4300,29.9200,1.799948
input3,VPWR,li1,20.4700,13.6000,1.799987
input2,VPWR,li1,30.1300,13.6000,1.799980
input1,VPWR,li1,38.8700,29.9200,1.799945
TAP_TAPCELL_ROW_13_43,VPWR,li1,31.5100,46.5460,1.799953
TAP_TAPCELL_ROW_13_42,VPWR,li1,18.6300,46.5460,1.799968
TAP_TAPCELL_ROW_12_41,VPWR,li1,18.6300,45.9330,1.799968
TAP_TAPCELL_ROW_11_40,VPWR,li1,31.5100,41.1060,1.799966
TAP_TAPCELL_ROW_10_39,VPWR,li1,18.6300,40.4930,1.799978
TAP_TAPCELL_ROW_9_38,VPWR,li1,31.5100,35.6660,1.799968
TAP_TAPCELL_ROW_8_37,VPWR,li1,18.6300,35.0530,1.799982
TAP_TAPCELL_ROW_7_36,VPWR,li1,31.5100,30.2260,1.799948
TAP_TAPCELL_ROW_6_35,VPWR,li1,18.6300,29.6130,1.799955
TAP_TAPCELL_ROW_5_34,VPWR,li1,31.5100,24.7860,1.799969
TAP_TAPCELL_ROW_4_33,VPWR,li1,18.6300,24.1730,1.799981
TAP_TAPCELL_ROW_3_32,VPWR,li1,31.5100,19.3460,1.799957
TAP_TAPCELL_ROW_2_31,VPWR,li1,18.6300,18.7330,1.799970
TAP_TAPCELL_ROW_1_30,VPWR,li1,31.5100,13.9060,1.799979
TAP_TAPCELL_ROW_0_29,VPWR,li1,31.5100,13.2930,1.799979
TAP_TAPCELL_ROW_0_28,VPWR,li1,18.6300,13.2930,1.799987
PHY_EDGE_ROW_13_Left_27,VPWR,li1,6.2100,46.2400,1.799965
PHY_EDGE_ROW_12_Left_26,VPWR,li1,6.2100,46.2400,1.799965
PHY_EDGE_ROW_11_Left_25,VPWR,li1,6.2100,40.8000,1.799978
PHY_EDGE_ROW_10_Left_24,VPWR,li1,6.2100,40.8000,1.799978
PHY_EDGE_ROW_9_Left_23,VPWR,li1,6.2100,35.3600,1.799982
PHY_EDGE_ROW_8_Left_22,VPWR,li1,6.2100,35.3600,1.799982
PHY_EDGE_ROW_7_Left_21,VPWR,li1,6.2100,29.9200,1.799946
PHY_EDGE_ROW_6_Left_20,VPWR,li1,6.2100,29.9200,1.799946
PHY_EDGE_ROW_5_Left_19,VPWR,li1,6.2100,24.4800,1.799980
PHY_EDGE_ROW_4_Left_18,VPWR,li1,6.2100,24.4800,1.799980
PHY_EDGE_ROW_3_Left_17,VPWR,li1,6.2100,19.0400,1.799968
PHY_EDGE_ROW_2_Left_16,VPWR,li1,6.2100,19.0400,1.799968
PHY_EDGE_ROW_1_Left_15,VPWR,li1,6.2100,13.6000,1.799987
PHY_EDGE_ROW_0_Left_14,VPWR,li1,6.2100,13.6000,1.799987
PHY_EDGE_ROW_13_Right_13,VPWR,li1,43.4700,46.2400,1.799948
PHY_EDGE_ROW_12_Right_12,VPWR,li1,43.4700,46.2400,1.799948
PHY_EDGE_ROW_11_Right_11,VPWR,li1,43.4700,40.8000,1.799965
PHY_EDGE_ROW_10_Right_10,VPWR,li1,43.4700,40.8000,1.799965
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799957
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799957
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799943
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799943
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799965
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799965
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.799954
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.799954
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799976
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799976
_99_,VPWR,li1,36.8000,35.3600,1.799960
_98_,VPWR,li1,37.2600,46.2400,1.799948
_97_,VPWR,li1,13.8000,46.2400,1.799965
_96_,VPWR,li1,29.4400,24.4800,1.799971
_95_,VPWR,li1,11.5000,29.9200,1.799949
_94_,VPWR,li1,13.3400,19.0400,1.799968
_93_,VPWR,li1,38.1800,13.6000,1.799976
_92_,VPWR,li1,38.1800,24.4800,1.799965
_91_,VPWR,li1,42.0900,35.3600,1.799957
_90_,VPWR,li1,38.4100,40.8000,1.799965
_89_,VPWR,li1,15.4100,40.8000,1.799978
_88_,VPWR,li1,30.1300,24.4800,1.799971
_87_,VPWR,li1,13.1100,35.3600,1.799982
_86_,VPWR,li1,18.6300,19.0400,1.799970
_85_,VPWR,li1,40.2500,13.6000,1.799976
_84_,VPWR,li1,36.1100,24.4800,1.799967
_83_,VPWR,li1,38.4100,24.4800,1.799965
_82_,VPWR,li1,17.7100,29.9200,1.799955
_81_,VPWR,li1,19.5500,29.9200,1.799959
_80_,VPWR,li1,20.4700,19.0400,1.799971
_79_,VPWR,li1,26.2200,13.6000,1.799982
_78_,VPWR,li1,32.8900,13.6000,1.799978
_77_,VPWR,li1,32.6600,13.6000,1.799978
_76_,VPWR,li1,30.5900,35.3600,1.799968
_75_,VPWR,li1,39.3300,35.3600,1.799958
_74_,VPWR,li1,26.6800,35.3600,1.799974
_73_,VPWR,li1,29.4400,40.8000,1.799966
_72_,VPWR,li1,26.2200,40.8000,1.799967
_71_,VPWR,li1,30.5900,46.2400,1.799953
_70_,VPWR,li1,26.9100,46.2400,1.799958
_69_,VPWR,li1,27.6000,46.2400,1.799958
_68_,VPWR,li1,24.6100,46.2400,1.799962
_67_,VPWR,li1,23.2300,46.2400,1.799966
_66_,VPWR,li1,20.4700,40.8000,1.799978
_65_,VPWR,li1,21.3900,35.3600,1.799982
_64_,VPWR,li1,23.2300,40.8000,1.799972
_63_,VPWR,li1,20.4700,46.2400,1.799969
_62_,VPWR,li1,21.8500,46.2400,1.799969
_61_,VPWR,li1,26.4500,24.4800,1.799973
_60_,VPWR,li1,20.2400,24.4800,1.799982
_59_,VPWR,li1,21.8500,29.9200,1.799961
_58_,VPWR,li1,23.6900,24.4800,1.799977
_57_,VPWR,li1,14.9500,29.9200,1.799953
_56_,VPWR,li1,12.6500,24.4800,1.799980
_55_,VPWR,li1,23.2300,19.0400,1.799973
_54_,VPWR,li1,33.3500,19.0400,1.799956
_53_,VPWR,li1,40.2500,24.4800,1.799965
_52_,VPWR,li1,30.5900,13.6000,1.799979
_51_,VPWR,li1,35.6500,19.0400,1.799955
_50_,VPWR,li1,28.7500,13.6000,1.799980
_49_,VPWR,li1,24.1500,13.6000,1.799983
_48_,VPWR,li1,20.0100,19.0400,1.799971
_47_,VPWR,li1,22.3100,13.6000,1.799985
_46_,VPWR,li1,11.2700,24.4800,1.799980
_45_,VPWR,li1,25.5300,29.9200,1.799951
_44_,VPWR,li1,29.2100,29.9200,1.799949
_43_,VPWR,li1,31.0500,29.9200,1.799948
_42_,VPWR,li1,40.2500,29.9200,1.799943
