Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_125,VPWR,li1,63.2500,73.4400,1.799938
FILLER_23_113,VPWR,li1,57.9600,73.4400,1.799941
FILLER_23_104,VPWR,li1,54.2800,73.4400,1.799943
FILLER_23_97,VPWR,li1,51.0600,73.4400,1.799945
FILLER_23_91,VPWR,li1,48.0700,73.4400,1.799947
FILLER_23_85,VPWR,li1,45.0800,73.4400,1.799951
FILLER_23_83,VPWR,li1,43.9300,73.4400,1.799951
FILLER_23_76,VPWR,li1,41.4000,73.4400,1.799953
FILLER_23_70,VPWR,li1,38.4100,73.4400,1.799958
FILLER_23_63,VPWR,li1,35.1900,73.4400,1.799961
FILLER_23_57,VPWR,li1,32.2000,73.4400,1.799964
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799966
FILLER_23_48,VPWR,li1,28.5200,73.4400,1.799970
FILLER_23_42,VPWR,li1,25.5300,73.4400,1.799974
FILLER_23_29,VPWR,li1,19.3200,73.4400,1.799976
FILLER_23_22,VPWR,li1,16.1000,73.4400,1.799974
FILLER_23_14,VPWR,li1,12.4200,73.4400,1.799973
FILLER_23_9,VPWR,li1,9.8900,73.4400,1.799973
FILLER_22_134,VPWR,li1,67.6200,73.4400,1.799937
FILLER_22_126,VPWR,li1,63.7100,73.4400,1.799938
FILLER_22_107,VPWR,li1,56.1200,73.4400,1.799942
FILLER_22_91,VPWR,li1,47.6100,73.4400,1.799949
FILLER_22_85,VPWR,li1,46.0000,73.4400,1.799949
FILLER_22_70,VPWR,li1,39.1000,73.4400,1.799955
FILLER_22_58,VPWR,li1,34.9600,73.4400,1.799961
FILLER_22_49,VPWR,li1,28.2900,73.4400,1.799970
FILLER_22_36,VPWR,li1,22.7700,73.4400,1.799977
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799975
FILLER_22_20,VPWR,li1,14.9500,73.4400,1.799974
FILLER_22_15,VPWR,li1,12.8800,73.4400,1.799974
FILLER_21_140,VPWR,li1,70.1500,68.0000,1.799973
FILLER_21_120,VPWR,li1,62.5600,68.0000,1.799975
FILLER_21_113,VPWR,li1,58.4200,68.0000,1.799976
FILLER_21_110,VPWR,li1,56.5800,68.0000,1.799976
FILLER_21_98,VPWR,li1,53.3600,68.0000,1.799977
