net,length_um
net83,47.02µm
net96,45.52µm
net30,42.36µm
net31,37.4µm
net62,36.54µm
net29,36.32µm
net63,32.78µm
net98,32.08µm
a[6],31.55µm
_149_,31.12µm
net61,31.02µm
_159_,28.9µm
net22,28.88µm
_108_,28.52µm
net8,28.5µm
net10,28.36µm
net11,27.96µm
b[31],27.69µm
net84,27.28µm
_138_,26.62µm
_161_,26.56µm
b[30],26.37µm
_072_,25.42µm
net9,25.34µm
net16,24.82µm
a[16],24.66µm
b[8],24.45µm
net51,24.38µm
_140_,24.28µm
net32,24.28µm
_163_,23.6µm
_165_,23.6µm
_050_,23.35µm
_123_,23.32µm
_113_,23.2µm
a[14],22.74µm
_157_,22.12µm
_115_,21.62µm
net19,21.26µm
sum[0],20.97µm
_109_,20.84µm
_086_,20.38µm
_155_,20.3µm
_002_,20.22µm
_051_,20.165µm
b[26],20.13µm
_028_,19.96µm
_126_,19.78µm
_064_,19.75µm
net54,19.28µm
_000_,19.095µm
a[2],19.01µm
_156_,18.96µm
sum[2],18.93µm
a[3],18.75µm
net35,18.74µm
_132_,18.5µm
net5,18.42µm
net97,18.36µm
_151_,18.3µm
_066_,18.06µm
_112_,17.98µm
a[23],17.89µm
b[20],17.55µm
_153_,17.48µm
a[12],17.45µm
net56,17.3µm
_120_,17.12µm
_104_,16.84µm
_045_,16.76µm
b[2],16.73µm
sum[24],16.63µm
_080_,16.3µm
_019_,16.14µm
_034_,16.13µm
a[13],16.05µm
_004_,15.97µm
_038_,15.94µm
_021_,15.92µm
_139_,15.825µm
_083_,15.8µm
_017_,15.72µm
_010_,15.255µm
_042_,15.22µm
net59,15.18µm
_142_,15.11µm
sum[25],15.07µm
_013_,15.02µm
_053_,14.98µm
_074_,14.84µm
_129_,14.82µm
net85,14.72µm
cin,14.66µm
a[31],14.65µm
net21,14.56µm
a[18],14.46µm
_006_,14.38µm
_102_,14.34µm
net52,14.34µm
net74,14.3µm
_016_,14.26µm
net65,14.22µm
a[0],14.2µm
_175_,14.18µm
net93,14.02µm
_046_,13.98µm
net57,13.8µm
_096_,13.78µm
net20,13.54µm
net91,13.4µm
net87,13.38µm
_128_,13.22µm
_105_,13.2µm
_136_,13.17µm
net77,13.08µm
net40,12.96µm
net53,12.84µm
a[29],12.82µm
_082_,12.76µm
_068_,12.46µm
a[1],12.36µm
b[29],12.36µm
net45,12.34µm
net70,12.28µm
_091_,12.26µm
_015_,12.22µm
_101_,12.04µm
_164_,12.04µm
net79,12.04µm
net24,12.02µm
net23,12µm
_039_,11.96µm
_071_,11.96µm
_041_,11.88µm
_168_,11.84µm
_078_,11.8µm
net1,11.78µm
sum[1],11.68µm
sum[28],11.68µm
sum[30],11.68µm
sum[31],11.68µm
sum[5],11.68µm
sum[8],11.68µm
sum[9],11.68µm
_012_,11.52µm
a[28],11.44µm
a[5],11.44µm
b[0],11.44µm
b[1],11.44µm
b[28],11.44µm
b[5],11.44µm
_069_,11.42µm
_060_,11.325µm
_107_,11.32µm
_117_,11.32µm
cout,11.22µm
sum[29],11.22µm
sum[6],11.22µm
_061_,10.96µm
_125_,10.845µm
_088_,10.78µm
net89,10.74µm
net4,10.66µm
net37,10.64µm
_116_,10.48µm
net25,10.46µm
_024_,10.44µm
_085_,10.42µm
net43,10.26µm
_089_,10.24µm
_023_,10.2µm
_103_,9.86µm
_033_,9.78µm
net75,9.7µm
a[9],9.65µm
b[15],9.64µm
b[16],9.64µm
net6,9.5µm
_147_,9.48µm
net42,9.48µm
a[8],9.43µm
_093_,9.4µm
_076_,9.395µm
a[19],9.18µm
_118_,9.16µm
_094_,9.11µm
_070_,9µm
_146_,9µm
_030_,8.98µm
sum[15],8.96µm
sum[16],8.96µm
sum[17],8.96µm
sum[18],8.96µm
sum[20],8.96µm
sum[21],8.96µm
sum[22],8.96µm
sum[7],8.96µm
_054_,8.86µm
_135_,8.72µm
a[15],8.72µm
a[17],8.72µm
a[21],8.72µm
b[14],8.72µm
b[17],8.72µm
b[18],8.72µm
b[19],8.72µm
b[21],8.72µm
a[22],8.71µm
b[27],8.69µm
_098_,8.68µm
a[11],8.61µm
_029_,8.58µm
sum[19],8.5µm
_063_,8.455µm
_090_,8.44µm
_037_,8.32µm
b[23],8.29µm
b[13],8.27µm
net14,8.24µm
net18,8.18µm
_097_,8.16µm
_020_,8.1µm
_057_,7.955µm
net94,7.94µm
net95,7.94µm
net64,7.9µm
_110_,7.78µm
net55,7.78µm
b[7],7.71µm
net12,7.64µm
net44,7.64µm
_025_,7.62µm
net92,7.6µm
net78,7.56µm
net27,7.46µm
_148_,7.44µm
net76,7.44µm
net81,7.44µm
sum[3],7.37µm
_026_,7.32µm
net26,7.32µm
a[26],7.25µm
_081_,7.2µm
net46,7.2µm
_124_,7.18µm
_058_,7.1µm
net86,7.1µm
a[24],7.03µm
a[30],6.99µm
net2,6.94µm
_073_,6.86µm
net39,6.86µm
b[4],6.77µm
_095_,6.72µm
_150_,6.72µm
net33,6.72µm
sum[13],6.69µm
a[27],6.67µm
b[6],6.65µm
net80,6.6µm
b[9],6.43µm
_036_,6.4µm
net60,6.4µm
b[24],6.31µm
_100_,6.3µm
_079_,6.285µm
_052_,6.18µm
b[10],6.09µm
_127_,5.97µm
a[20],5.97µm
a[25],5.97µm
_043_,5.86µm
_055_,5.84µm
_131_,5.72µm
_014_,5.68µm
_031_,5.68µm
_056_,5.68µm
net88,5.68µm
_170_,5.62µm
_065_,5.6µm
_160_,5.6µm
net41,5.6µm
net73,5.6µm
sum[10],5.53µm
_008_,5.48µm
_047_,5.48µm
_092_,5.48µm
net36,5.48µm
net58,5.48µm
_134_,5.46µm
b[12],5.41µm
b[3],5.41µm
_009_,5.38µm
_011_,5.38µm
_143_,5.36µm
_048_,5.34µm
net49,5.34µm
a[7],5.29µm
_007_,5.22µm
_119_,5.22µm
net47,5.14µm
a[4],5.07µm
sum[23],5.07µm
sum[27],5.07µm
b[22],4.95µm
_158_,4.92µm
net34,4.9µm
sum[11],4.85µm
sum[12],4.85µm
sum[14],4.85µm
sum[4],4.85µm
_077_,4.82µm
_144_,4.82µm
net69,4.82µm
_173_,4.77µm
_059_,4.63µm
net3,4.56µm
net28,4.56µm
_040_,4.48µm
net71,4.48µm
_171_,4.42µm
a[10],4.39µm
b[11],4.39µm
sum[26],4.39µm
_035_,4.34µm
_111_,4.34µm
_130_,4.34µm
net13,4µm
b[25],3.93µm
_022_,3.88µm
net50,3.88µm
net67,3.88µm
net82,3.88µm
net90,3.88µm
_154_,3.78µm
_067_,3.54µm
net17,3.42µm
net48,3.42µm
net68,3.3µm
_167_,3.22µm
net72,3.18µm
_005_,3.1µm
_075_,2.96µm
_099_,2.96µm
net7,2.96µm
net38,2.96µm
_145_,2.52µm
_018_,2.5µm
_027_,2.5µm
_121_,2.5µm
_122_,2.5µm
net66,2.5µm
_114_,2.3µm
_141_,2.18µm
_166_,2.18µm
_001_,2.16µm
_044_,2.16µm
_174_,2.16µm
net15,2.16µm
_049_,2.04µm
_172_,1.82µm
_003_,1.7µm
_084_,1.7µm
_106_,1.7µm
_169_,1.6µm
_133_,1.48µm
_032_,1.38µm
_152_,1.38µm
_062_,0.92µm
_087_,0.92µm
_162_,0.8µm
_137_,0.46µm
