Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_125,VGND,li1,63.2500,76.1600,0.000055
FILLER_23_113,VGND,li1,57.9600,76.1600,0.000053
FILLER_23_104,VGND,li1,54.2800,76.1600,0.000049
FILLER_23_97,VGND,li1,51.0600,76.1600,0.000047
FILLER_23_91,VGND,li1,48.0700,76.1600,0.000045
FILLER_23_85,VGND,li1,45.0800,76.1600,0.000043
FILLER_23_83,VGND,li1,43.9300,76.1600,0.000043
FILLER_23_76,VGND,li1,41.4000,76.1600,0.000040
FILLER_23_70,VGND,li1,38.4100,76.1600,0.000037
FILLER_23_63,VGND,li1,35.1900,76.1600,0.000034
FILLER_23_57,VGND,li1,32.2000,76.1600,0.000031
FILLER_23_55,VGND,li1,31.0500,76.1600,0.000028
FILLER_23_48,VGND,li1,28.5200,76.1600,0.000024
FILLER_23_42,VGND,li1,25.5300,76.1600,0.000021
FILLER_23_29,VGND,li1,19.3200,76.1600,0.000023
FILLER_23_22,VGND,li1,16.1000,76.1600,0.000024
FILLER_23_14,VGND,li1,12.4200,76.1600,0.000025
FILLER_23_9,VGND,li1,9.8900,76.1600,0.000025
FILLER_22_134,VGND,li1,67.6200,70.7200,0.000025
FILLER_22_126,VGND,li1,63.7100,70.7200,0.000024
FILLER_22_107,VGND,li1,56.1200,70.7200,0.000022
FILLER_22_91,VGND,li1,47.6100,70.7200,0.000018
FILLER_22_85,VGND,li1,46.0000,70.7200,0.000018
FILLER_22_70,VGND,li1,39.1000,70.7200,0.000015
FILLER_22_58,VGND,li1,34.9600,70.7200,0.000013
FILLER_22_49,VGND,li1,28.2900,70.7200,0.000009
FILLER_22_36,VGND,li1,22.7700,70.7200,0.000008
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000009
FILLER_22_20,VGND,li1,14.9500,70.7200,0.000010
FILLER_22_15,VGND,li1,12.8800,70.7200,0.000010
FILLER_21_140,VGND,li1,70.1500,70.7200,0.000025
FILLER_21_120,VGND,li1,62.5600,70.7200,0.000024
FILLER_21_113,VGND,li1,58.4200,70.7200,0.000023
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000022
FILLER_21_98,VGND,li1,53.3600,70.7200,0.000020
FILLER_21_89,VGND,li1,47.8400,70.7200,0.000019
FILLER_21_77,VGND,li1,43.7000,70.7200,0.000017
FILLER_21_65,VGND,li1,38.1800,70.7200,0.000015
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000011
FILLER_21_47,VGND,li1,27.3700,70.7200,0.000009
FILLER_21_43,VGND,li1,26.2200,70.7200,0.000008
FILLER_21_31,VGND,li1,22.5400,70.7200,0.000008
FILLER_21_26,VGND,li1,17.7100,70.7200,0.000009
FILLER_21_20,VGND,li1,16.1000,70.7200,0.000009
FILLER_21_3,VGND,li1,7.1300,70.7200,0.000010
FILLER_20_127,VGND,li1,65.3200,65.2800,0.000026
FILLER_20_115,VGND,li1,58.8800,65.2800,0.000025
FILLER_20_107,VGND,li1,56.5800,65.2800,0.000024
FILLER_20_96,VGND,li1,49.9100,65.2800,0.000021
FILLER_20_92,VGND,li1,48.7600,65.2800,0.000021
FILLER_20_82,VGND,li1,43.7000,65.2800,0.000019
FILLER_20_76,VGND,li1,41.1700,65.2800,0.000018
FILLER_20_62,VGND,li1,34.7300,65.2800,0.000014
FILLER_20_50,VGND,li1,31.2800,65.2800,0.000013
FILLER_20_38,VGND,li1,25.7600,65.2800,0.000010
FILLER_20_29,VGND,li1,19.7800,65.2800,0.000009
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000010
FILLER_20_15,VGND,li1,15.1800,65.2800,0.000011
FILLER_19_137,VGND,li1,69.4600,65.2800,0.000027
FILLER_19_130,VGND,li1,65.5500,65.2800,0.000026
FILLER_19_126,VGND,li1,64.4000,65.2800,0.000026
FILLER_19_100,VGND,li1,54.2800,65.2800,0.000023
FILLER_19_88,VGND,li1,48.7600,65.2800,0.000021
FILLER_19_80,VGND,li1,42.7800,65.2800,0.000018
FILLER_19_72,VGND,li1,40.4800,65.2800,0.000017
FILLER_19_65,VGND,li1,35.6500,65.2800,0.000015
FILLER_19_57,VGND,li1,33.5800,65.2800,0.000014
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000013
FILLER_19_36,VGND,li1,23.9200,65.2800,0.000009
FILLER_19_21,VGND,li1,15.8700,65.2800,0.000010
FILLER_19_10,VGND,li1,11.0400,65.2800,0.000011
FILLER_18_141,VGND,li1,71.0700,59.8400,0.000028
FILLER_18_139,VGND,li1,69.6900,59.8400,0.000028
FILLER_18_135,VGND,li1,68.5400,59.8400,0.000028
FILLER_18_121,VGND,li1,63.0200,59.8400,0.000027
FILLER_18_109,VGND,li1,58.4200,59.8400,0.000025
FILLER_18_97,VGND,li1,50.3700,59.8400,0.000023
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000021
FILLER_18_82,VGND,li1,43.7000,59.8400,0.000020
FILLER_18_75,VGND,li1,40.9400,59.8400,0.000018
FILLER_18_63,VGND,li1,37.2600,59.8400,0.000015
FILLER_18_53,VGND,li1,30.5900,59.8400,0.000012
FILLER_18_45,VGND,li1,28.0600,59.8400,0.000010
FILLER_18_33,VGND,li1,23.4600,59.8400,0.000007
FILLER_18_29,VGND,li1,19.0900,59.8400,0.000008
FILLER_18_26,VGND,li1,17.9400,59.8400,0.000008
FILLER_18_18,VGND,li1,15.6400,59.8400,0.000008
FILLER_18_6,VGND,li1,11.0400,59.8400,0.000008
FILLER_17_138,VGND,li1,69.4600,59.8400,0.000028
FILLER_17_128,VGND,li1,65.0900,59.8400,0.000027
FILLER_17_120,VGND,li1,62.5600,59.8400,0.000027
FILLER_17_113,VGND,li1,58.4200,59.8400,0.000025
FILLER_17_102,VGND,li1,53.1300,59.8400,0.000024
FILLER_17_94,VGND,li1,50.6000,59.8400,0.000023
FILLER_17_87,VGND,li1,45.7700,59.8400,0.000021
FILLER_17_72,VGND,li1,39.3300,59.8400,0.000017
FILLER_17_63,VGND,li1,35.8800,59.8400,0.000015
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000012
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000012
FILLER_17_47,VGND,li1,27.3700,59.8400,0.000009
FILLER_17_43,VGND,li1,26.2200,59.8400,0.000009
FILLER_17_34,VGND,li1,21.3900,59.8400,0.000008
FILLER_17_26,VGND,li1,19.3200,59.8400,0.000008
FILLER_17_14,VGND,li1,14.7200,59.8400,0.000008
FILLER_16_139,VGND,li1,69.6900,54.4000,0.000023
FILLER_16_131,VGND,li1,67.6200,54.4000,0.000023
FILLER_16_111,VGND,li1,59.3400,54.4000,0.000021
FILLER_16_91,VGND,li1,47.6100,54.4000,0.000017
FILLER_16_85,VGND,li1,46.0000,54.4000,0.000017
FILLER_16_78,VGND,li1,42.7800,54.4000,0.000016
FILLER_16_66,VGND,li1,38.6400,54.4000,0.000014
FILLER_16_54,VGND,li1,33.1200,54.4000,0.000011
FILLER_16_49,VGND,li1,28.2900,54.4000,0.000010
FILLER_16_41,VGND,li1,26.2200,54.4000,0.000009
FILLER_16_29,VGND,li1,19.5500,54.4000,0.000010
FILLER_16_25,VGND,li1,17.7100,54.4000,0.000010
FILLER_16_17,VGND,li1,15.1800,54.4000,0.000011
FILLER_16_7,VGND,li1,9.4300,54.4000,0.000012
FILLER_15_137,VGND,li1,69.2300,54.4000,0.000023
FILLER_15_125,VGND,li1,65.7800,54.4000,0.000022
FILLER_15_113,VGND,li1,60.2600,54.4000,0.000021
FILLER_15_100,VGND,li1,54.2800,54.4000,0.000020
FILLER_15_94,VGND,li1,48.9900,54.4000,0.000018
FILLER_15_82,VGND,li1,46.0000,54.4000,0.000017
FILLER_15_70,VGND,li1,40.4800,54.4000,0.000015
FILLER_15_57,VGND,li1,33.1200,54.4000,0.000011
FILLER_15_47,VGND,li1,27.6000,54.4000,0.000009
FILLER_15_35,VGND,li1,24.3800,54.4000,0.000008
FILLER_15_25,VGND,li1,17.7100,54.4000,0.000010
FILLER_15_13,VGND,li1,14.2600,54.4000,0.000011
FILLER_14_139,VGND,li1,69.6900,48.9600,0.000014
FILLER_14_126,VGND,li1,63.7100,48.9600,0.000013
FILLER_14_105,VGND,li1,54.5100,48.9600,0.000012
FILLER_14_97,VGND,li1,51.9800,48.9600,0.000011
FILLER_14_85,VGND,li1,47.3800,48.9600,0.000010
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000009
FILLER_14_77,VGND,li1,42.3200,48.9600,0.000009
FILLER_14_65,VGND,li1,38.1800,48.9600,0.000008
FILLER_14_53,VGND,li1,32.6600,48.9600,0.000006
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000005
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000005
FILLER_14_24,VGND,li1,17.4800,48.9600,0.000006
FILLER_14_14,VGND,li1,12.6500,48.9600,0.000006
FILLER_14_6,VGND,li1,10.1200,48.9600,0.000007
FILLER_13_141,VGND,li1,71.0700,48.9600,0.000014
FILLER_13_133,VGND,li1,68.5400,48.9600,0.000014
FILLER_13_129,VGND,li1,65.0900,48.9600,0.000014
FILLER_13_125,VGND,li1,63.9400,48.9600,0.000013
FILLER_13_113,VGND,li1,60.2600,48.9600,0.000013
FILLER_13_109,VGND,li1,56.3500,48.9600,0.000013
FILLER_13_101,VGND,li1,52.6700,48.9600,0.000011
FILLER_13_93,VGND,li1,50.1400,48.9600,0.000011
FILLER_13_81,VGND,li1,45.5400,48.9600,0.000009
FILLER_13_69,VGND,li1,40.0200,48.9600,0.000008
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000007
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000006
FILLER_13_43,VGND,li1,28.0600,48.9600,0.000005
FILLER_13_31,VGND,li1,22.5400,48.9600,0.000005
FILLER_13_3,VGND,li1,8.2800,48.9600,0.000007
FILLER_12_127,VGND,li1,64.4000,43.5200,0.000015
FILLER_12_119,VGND,li1,62.1000,43.5200,0.000014
FILLER_12_109,VGND,li1,55.8900,43.5200,0.000013
FILLER_12_97,VGND,li1,52.9000,43.5200,0.000012
FILLER_12_85,VGND,li1,47.3800,43.5200,0.000011
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000009
FILLER_12_77,VGND,li1,42.3200,43.5200,0.000009
FILLER_12_65,VGND,li1,38.1800,43.5200,0.000008
FILLER_12_53,VGND,li1,32.6600,43.5200,0.000006
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000005
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000004
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000005
FILLER_12_21,VGND,li1,16.5600,43.5200,0.000005
FILLER_12_9,VGND,li1,12.4200,43.5200,0.000005
FILLER_11_143,VGND,li1,71.5300,43.5200,0.000015
FILLER_11_113,VGND,li1,58.8800,43.5200,0.000014
FILLER_11_110,VGND,li1,56.5800,43.5200,0.000013
FILLER_11_101,VGND,li1,52.4400,43.5200,0.000012
FILLER_11_93,VGND,li1,50.1400,43.5200,0.000011
FILLER_11_81,VGND,li1,45.5400,43.5200,0.000010
