Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_8_29,VPWR,li1,20.7000,35.3600,1.799992
FILLER_8_22,VPWR,li1,16.1000,35.3600,1.799991
FILLER_8_10,VPWR,li1,12.8800,35.3600,1.799990
FILLER_7_25,VPWR,li1,18.4000,29.9200,1.799994
FILLER_7_13,VPWR,li1,11.9600,29.9200,1.799993
FILLER_7_3,VPWR,li1,7.3600,29.9200,1.799993
FILLER_6_16,VPWR,li1,15.6400,29.9200,1.799994
FILLER_5_38,VPWR,li1,23.4600,24.4800,1.799997
FILLER_5_32,VPWR,li1,20.9300,24.4800,1.799998
FILLER_5_24,VPWR,li1,18.4000,24.4800,1.799997
FILLER_4_50,VPWR,li1,28.9800,24.4800,1.799997
FILLER_4_41,VPWR,li1,25.0700,24.4800,1.799997
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799998
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799997
FILLER_4_13,VPWR,li1,14.2600,24.4800,1.799996
FILLER_4_9,VPWR,li1,9.8900,24.4800,1.799996
FILLER_3_34,VPWR,li1,23.9200,19.0400,1.799995
FILLER_3_22,VPWR,li1,18.4000,19.0400,1.799995
FILLER_2_29,VPWR,li1,19.5500,19.0400,1.799995
FILLER_2_3,VPWR,li1,7.1300,19.0400,1.799994
FILLER_1_54,VPWR,li1,30.5900,13.6000,1.799990
FILLER_1_29,VPWR,li1,19.7800,13.6000,1.799991
FILLER_1_3,VPWR,li1,7.1300,13.6000,1.799989
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799991
FILLER_0_20,VPWR,li1,15.6400,13.6000,1.799989
FILLER_0_6,VPWR,li1,8.7400,13.6000,1.799989
output26,VPWR,li1,24.3800,29.9200,1.799994
output25,VPWR,li1,28.0600,35.3600,1.799990
output24,VPWR,li1,17.4800,35.3600,1.799991
output23,VPWR,li1,7.8200,35.3600,1.799989
output22,VPWR,li1,17.4800,13.6000,1.799990
output21,VPWR,li1,20.7000,13.6000,1.799991
output20,VPWR,li1,29.9000,19.0400,1.799994
output19,VPWR,li1,29.9000,13.6000,1.799990
output18,VPWR,li1,29.9000,35.3600,1.799990
input17,VPWR,li1,27.3700,19.0400,1.799994
input16,VPWR,li1,30.1300,24.4800,1.799997
input15,VPWR,li1,28.7500,19.0400,1.799994
input14,VPWR,li1,7.5900,29.9200,1.799993
input13,VPWR,li1,12.1900,29.9200,1.799994
input12,VPWR,li1,7.5900,13.6000,1.799989
input11,VPWR,li1,8.9700,24.4800,1.799996
input10,VPWR,li1,23.6900,13.6000,1.799991
input9,VPWR,li1,28.2900,19.0400,1.799994
input8,VPWR,li1,30.1300,19.0400,1.799994
input7,VPWR,li1,23.2300,35.3600,1.799992
input6,VPWR,li1,9.4300,35.3600,1.799989
input5,VPWR,li1,7.5900,24.4800,1.799996
input4,VPWR,li1,11.2700,13.6000,1.799989
input3,VPWR,li1,12.6500,13.6000,1.799989
input2,VPWR,li1,22.3100,13.6000,1.799992
input1,VPWR,li1,25.5300,19.0400,1.799995
TAP_TAPCELL_ROW_8_22,VPWR,li1,18.6300,35.0530,1.799992
TAP_TAPCELL_ROW_6_21,VPWR,li1,18.6300,29.6130,1.799994
TAP_TAPCELL_ROW_4_20,VPWR,li1,18.6300,24.1730,1.799997
TAP_TAPCELL_ROW_2_19,VPWR,li1,18.6300,18.7330,1.799995
TAP_TAPCELL_ROW_0_18,VPWR,li1,18.6300,13.2930,1.799990
PHY_EDGE_ROW_8_Left_17,VPWR,li1,6.2100,35.3600,1.799989
PHY_EDGE_ROW_7_Left_16,VPWR,li1,6.2100,29.9200,1.799993
PHY_EDGE_ROW_6_Left_15,VPWR,li1,6.2100,29.9200,1.799993
PHY_EDGE_ROW_5_Left_14,VPWR,li1,6.2100,24.4800,1.799996
PHY_EDGE_ROW_4_Left_13,VPWR,li1,6.2100,24.4800,1.799996
PHY_EDGE_ROW_3_Left_12,VPWR,li1,6.2100,19.0400,1.799994
PHY_EDGE_ROW_2_Left_11,VPWR,li1,6.2100,19.0400,1.799994
PHY_EDGE_ROW_1_Left_10,VPWR,li1,6.2100,13.6000,1.799989
PHY_EDGE_ROW_0_Left_9,VPWR,li1,6.2100,13.6000,1.799989
