net,length_um
_11_,19.38µm
_31_,17.38µm
_05_,17.12µm
_17_,16.54µm
_02_,16.46µm
_21_,16.15µm
net20,15.46µm
_04_,13.9µm
net14,13.22µm
net3,12.82µm
_18_,12.68µm
_28_,12.3µm
_29_,12.18µm
_20_,11.8µm
net25,11.48µm
_24_,11.34µm
net15,10.7µm
_37_,10.54µm
_22_,10.5µm
net2,10.5µm
sum[2],10.32µm
net19,10.26µm
net6,10.24µm
net7,10.12µm
_01_,10.06µm
net13,10.06µm
a[1],9.64µm
net11,9.5µm
net16,9.5µm
_32_,9.4µm
_13_,9.04µm
sum[3],8.96µm
sum[5],8.96µm
net12,8.78µm
a[5],8.72µm
a[6],8.72µm
b[1],8.72µm
b[5],8.72µm
b[6],8.72µm
_08_,8.56µm
net17,8.14µm
net5,8.12µm
_34_,7.98µm
net8,7.9µm
net1,7.78µm
net21,7.52µm
net22,7.52µm
_14_,7.355µm
_07_,6.62µm
net10,6.6µm
net24,6.6µm
_26_,6.52µm
_35_,6.48µm
b[4],6.31µm
_09_,6.26µm
b[7],6.19µm
net23,6.14µm
sum[6],6.11µm
b[3],5.97µm
net4,5.82µm
b[2],5.63µm
cin,5.51µm
cout,5.29µm
net18,5.22µm
a[7],5.19µm
sum[4],5.07µm
a[3],4.95µm
a[2],4.61µm
a[4],4.61µm
sum[0],4.61µm
sum[7],4.61µm
a[0],4.49µm
_16_,4.1µm
_33_,3.995µm
_19_,3.96µm
sum[1],3.93µm
net9,3.9µm
b[0],3.47µm
net26,3.44µm
_10_,3.42µm
_36_,3.42µm
_12_,2.96µm
_06_,2.62µm
_23_,2.5µm
_03_,2.18µm
_15_,2.16µm
_30_,2.04µm
_38_,1.7µm
_27_,1.36µm
_00_,1.26µm
_25_,0.46µm
