Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_57,VPWR,li1,32.4300,40.8000,1.799985
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799986
FILLER_11_48,VPWR,li1,28.5200,40.8000,1.799987
FILLER_11_42,VPWR,li1,25.5300,40.8000,1.799988
FILLER_11_34,VPWR,li1,22.0800,40.8000,1.799991
FILLER_11_29,VPWR,li1,19.3200,40.8000,1.799990
FILLER_11_27,VPWR,li1,18.1700,40.8000,1.799990
FILLER_11_23,VPWR,li1,16.3300,40.8000,1.799990
FILLER_11_15,VPWR,li1,14.2600,40.8000,1.799990
FILLER_11_3,VPWR,li1,9.6600,40.8000,1.799989
FILLER_10_62,VPWR,li1,34.5000,40.8000,1.799984
FILLER_10_45,VPWR,li1,26.4500,40.8000,1.799988
FILLER_10_41,VPWR,li1,24.6100,40.8000,1.799989
FILLER_10_37,VPWR,li1,23.4600,40.8000,1.799989
FILLER_10_33,VPWR,li1,20.9300,40.8000,1.799991
FILLER_10_29,VPWR,li1,19.7800,40.8000,1.799990
FILLER_10_27,VPWR,li1,18.1700,40.8000,1.799990
FILLER_10_19,VPWR,li1,16.1000,40.8000,1.799990
FILLER_10_7,VPWR,li1,11.5000,40.8000,1.799989
FILLER_9_66,VPWR,li1,36.3400,35.3600,1.799994
FILLER_9_24,VPWR,li1,16.7900,35.3600,1.799995
FILLER_9_18,VPWR,li1,15.1800,35.3600,1.799995
FILLER_9_6,VPWR,li1,11.0400,35.3600,1.799995
FILLER_8_66,VPWR,li1,36.3400,35.3600,1.799994
FILLER_8_45,VPWR,li1,26.4500,35.3600,1.799995
FILLER_8_39,VPWR,li1,23.6900,35.3600,1.799995
FILLER_8_35,VPWR,li1,22.5400,35.3600,1.799996
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799995
FILLER_8_24,VPWR,li1,17.4800,35.3600,1.799995
FILLER_8_3,VPWR,li1,7.5900,35.3600,1.799994
FILLER_7_60,VPWR,li1,33.5800,29.9200,1.799995
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799995
FILLER_7_38,VPWR,li1,25.7600,29.9200,1.799996
FILLER_7_26,VPWR,li1,20.2400,29.9200,1.799997
FILLER_7_12,VPWR,li1,11.2700,29.9200,1.799997
FILLER_7_6,VPWR,li1,9.6600,29.9200,1.799997
FILLER_6_61,VPWR,li1,34.2700,29.9200,1.799995
FILLER_6_53,VPWR,li1,31.7400,29.9200,1.799995
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.799996
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799997
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799997
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799997
FILLER_6_6,VPWR,li1,11.0400,29.9200,1.799997
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799995
FILLER_5_57,VPWR,li1,33.1200,24.4800,1.799995
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799996
FILLER_5_42,VPWR,li1,27.6000,24.4800,1.799996
FILLER_5_30,VPWR,li1,22.0800,24.4800,1.799997
FILLER_5_18,VPWR,li1,16.5600,24.4800,1.799996
FILLER_5_6,VPWR,li1,11.0400,24.4800,1.799996
FILLER_4_64,VPWR,li1,35.1900,24.4800,1.799995
FILLER_4_58,VPWR,li1,33.5800,24.4800,1.799995
FILLER_4_53,VPWR,li1,30.3600,24.4800,1.799996
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799996
FILLER_4_33,VPWR,li1,20.9300,24.4800,1.799997
FILLER_4_29,VPWR,li1,19.7800,24.4800,1.799997
FILLER_3_65,VPWR,li1,36.1100,19.0400,1.799995
FILLER_3_46,VPWR,li1,27.3700,19.0400,1.799996
FILLER_3_38,VPWR,li1,24.8400,19.0400,1.799996
FILLER_3_15,VPWR,li1,12.6500,19.0400,1.799995
FILLER_3_3,VPWR,li1,7.3600,19.0400,1.799995
FILLER_2_64,VPWR,li1,35.1900,19.0400,1.799995
FILLER_2_52,VPWR,li1,30.3600,19.0400,1.799995
FILLER_2_40,VPWR,li1,26.6800,19.0400,1.799996
FILLER_2_29,VPWR,li1,19.5500,19.0400,1.799996
FILLER_2_26,VPWR,li1,17.9400,19.0400,1.799996
FILLER_1_57,VPWR,li1,33.5800,13.6000,1.799996
FILLER_1_53,VPWR,li1,30.5900,13.6000,1.799996
FILLER_1_45,VPWR,li1,28.0600,13.6000,1.799996
FILLER_1_33,VPWR,li1,23.4600,13.6000,1.799996
FILLER_1_21,VPWR,li1,17.9400,13.6000,1.799995
FILLER_1_15,VPWR,li1,13.1100,13.6000,1.799995
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799995
FILLER_0_65,VPWR,li1,36.1100,13.6000,1.799996
FILLER_0_57,VPWR,li1,33.5800,13.6000,1.799996
FILLER_0_48,VPWR,li1,29.4400,13.6000,1.799996
FILLER_0_41,VPWR,li1,25.3000,13.6000,1.799996
FILLER_0_35,VPWR,li1,22.3100,13.6000,1.799996
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799996
FILLER_0_23,VPWR,li1,16.3300,13.6000,1.799995
FILLER_0_15,VPWR,li1,14.2600,13.6000,1.799995
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799995
output26,VPWR,li1,35.8800,40.8000,1.799984
output25,VPWR,li1,34.0400,40.8000,1.799985
output24,VPWR,li1,23.9200,40.8000,1.799989
output23,VPWR,li1,7.8200,40.8000,1.799988
output22,VPWR,li1,17.4800,13.6000,1.799995
output21,VPWR,li1,20.7000,13.6000,1.799996
output20,VPWR,li1,35.8800,29.9200,1.799994
output19,VPWR,li1,35.8800,24.4800,1.799995
output18,VPWR,li1,35.8800,40.8000,1.799984
input17,VPWR,li1,36.1100,24.4800,1.799995
input16,VPWR,li1,36.1100,29.9200,1.799994
input15,VPWR,li1,30.1300,40.8000,1.799986
input14,VPWR,li1,20.4700,40.8000,1.799991
input13,VPWR,li1,7.5900,35.3600,1.799994
input12,VPWR,li1,7.5900,24.4800,1.799996
input11,VPWR,li1,7.5900,24.4800,1.799996
input10,VPWR,li1,23.6900,13.6000,1.799996
input9,VPWR,li1,36.1100,19.0400,1.799995
input8,VPWR,li1,34.7300,29.9200,1.799995
input7,VPWR,li1,26.9100,40.8000,1.799988
input6,VPWR,li1,17.2500,40.8000,1.799990
input5,VPWR,li1,7.5900,29.9200,1.799997
input4,VPWR,li1,7.5900,19.0400,1.799995
input3,VPWR,li1,7.5900,29.9200,1.799997
input2,VPWR,li1,26.9100,13.6000,1.799996
input1,VPWR,li1,36.1100,13.6000,1.799996
TAP_TAPCELL_ROW_11_37,VPWR,li1,31.5100,41.1060,1.799986
TAP_TAPCELL_ROW_11_36,VPWR,li1,18.6300,41.1060,1.799990
TAP_TAPCELL_ROW_10_35,VPWR,li1,18.6300,40.4930,1.799990
TAP_TAPCELL_ROW_9_34,VPWR,li1,31.5100,35.6660,1.799994
TAP_TAPCELL_ROW_8_33,VPWR,li1,18.6300,35.0530,1.799995
TAP_TAPCELL_ROW_7_32,VPWR,li1,31.5100,30.2260,1.799995
TAP_TAPCELL_ROW_6_31,VPWR,li1,18.6300,29.6130,1.799997
TAP_TAPCELL_ROW_5_30,VPWR,li1,31.5100,24.7860,1.799996
TAP_TAPCELL_ROW_4_29,VPWR,li1,18.6300,24.1730,1.799997
TAP_TAPCELL_ROW_3_28,VPWR,li1,31.5100,19.3460,1.799995
TAP_TAPCELL_ROW_2_27,VPWR,li1,18.6300,18.7330,1.799996
TAP_TAPCELL_ROW_1_26,VPWR,li1,31.5100,13.9060,1.799996
TAP_TAPCELL_ROW_0_25,VPWR,li1,31.5100,13.2930,1.799996
TAP_TAPCELL_ROW_0_24,VPWR,li1,18.6300,13.2930,1.799996
PHY_EDGE_ROW_11_Left_23,VPWR,li1,6.2100,40.8000,1.799988
PHY_EDGE_ROW_10_Left_22,VPWR,li1,6.2100,40.8000,1.799988
PHY_EDGE_ROW_9_Left_21,VPWR,li1,6.2100,35.3600,1.799994
PHY_EDGE_ROW_8_Left_20,VPWR,li1,6.2100,35.3600,1.799994
PHY_EDGE_ROW_7_Left_19,VPWR,li1,6.2100,29.9200,1.799997
PHY_EDGE_ROW_6_Left_18,VPWR,li1,6.2100,29.9200,1.799997
PHY_EDGE_ROW_5_Left_17,VPWR,li1,6.2100,24.4800,1.799996
PHY_EDGE_ROW_4_Left_16,VPWR,li1,6.2100,24.4800,1.799996
PHY_EDGE_ROW_3_Left_15,VPWR,li1,6.2100,19.0400,1.799995
PHY_EDGE_ROW_2_Left_14,VPWR,li1,6.2100,19.0400,1.799995
PHY_EDGE_ROW_1_Left_13,VPWR,li1,6.2100,13.6000,1.799995
PHY_EDGE_ROW_0_Left_12,VPWR,li1,6.2100,13.6000,1.799995
PHY_EDGE_ROW_11_Right_11,VPWR,li1,37.4900,40.8000,1.799984
PHY_EDGE_ROW_10_Right_10,VPWR,li1,37.4900,40.8000,1.799984
PHY_EDGE_ROW_9_Right_9,VPWR,li1,37.4900,35.3600,1.799994
PHY_EDGE_ROW_8_Right_8,VPWR,li1,37.4900,35.3600,1.799994
PHY_EDGE_ROW_7_Right_7,VPWR,li1,37.4900,29.9200,1.799994
PHY_EDGE_ROW_6_Right_6,VPWR,li1,37.4900,29.9200,1.799994
PHY_EDGE_ROW_5_Right_5,VPWR,li1,37.4900,24.4800,1.799995
PHY_EDGE_ROW_4_Right_4,VPWR,li1,37.4900,24.4800,1.799995
PHY_EDGE_ROW_3_Right_3,VPWR,li1,37.4900,19.0400,1.799995
PHY_EDGE_ROW_2_Right_2,VPWR,li1,37.4900,19.0400,1.799995
PHY_EDGE_ROW_1_Right_1,VPWR,li1,37.4900,13.6000,1.799996
PHY_EDGE_ROW_0_Right_0,VPWR,li1,37.4900,13.6000,1.799996
_86_,VPWR,li1,33.8100,35.3600,1.799994
_85_,VPWR,li1,33.3500,40.8000,1.799985
_84_,VPWR,li1,11.2700,35.3600,1.799995
_83_,VPWR,li1,20.0100,35.3600,1.799995
_82_,VPWR,li1,29.6700,35.3600,1.799994
_81_,VPWR,li1,23.4600,35.3600,1.799996
_80_,VPWR,li1,21.8500,40.8000,1.799991
_79_,VPWR,li1,28.7500,40.8000,1.799987
_78_,VPWR,li1,31.0500,40.8000,1.799986
_77_,VPWR,li1,27.1400,35.3600,1.799995
_76_,VPWR,li1,25.5300,40.8000,1.799988
_75_,VPWR,li1,17.7100,35.3600,1.799995
_74_,VPWR,li1,15.1800,29.9200,1.799997
_73_,VPWR,li1,12.1900,29.9200,1.799997
_72_,VPWR,li1,11.9600,24.4800,1.799996
_71_,VPWR,li1,17.4800,24.4800,1.799997
_70_,VPWR,li1,18.1700,19.0400,1.799996
_69_,VPWR,li1,15.8700,35.3600,1.799995
_68_,VPWR,li1,14.0300,35.3600,1.799995
_67_,VPWR,li1,8.9700,35.3600,1.799995
_66_,VPWR,li1,25.0700,35.3600,1.799995
_65_,VPWR,li1,20.4700,35.3600,1.799995
_64_,VPWR,li1,27.3700,35.3600,1.799995
_63_,VPWR,li1,30.1300,35.3600,1.799994
_62_,VPWR,li1,27.3700,40.8000,1.799987
_61_,VPWR,li1,34.7300,35.3600,1.799994
_60_,VPWR,li1,32.4300,29.9200,1.799995
_59_,VPWR,li1,32.4300,35.3600,1.799994
_58_,VPWR,li1,29.6700,19.0400,1.799995
_57_,VPWR,li1,22.7700,24.4800,1.799997
_56_,VPWR,li1,15.8700,19.0400,1.799996
_55_,VPWR,li1,12.6500,19.0400,1.799995
_54_,VPWR,li1,14.7200,19.0400,1.799996
_53_,VPWR,li1,20.7000,19.0400,1.799996
_52_,VPWR,li1,22.3100,19.0400,1.799996
_51_,VPWR,li1,23.2300,19.0400,1.799996
_50_,VPWR,li1,33.5800,19.0400,1.799995
_49_,VPWR,li1,31.5100,24.4800,1.799996
_48_,VPWR,li1,32.4300,19.0400,1.799995
_47_,VPWR,li1,34.2700,19.0400,1.799995
_46_,VPWR,li1,21.3900,19.0400,1.799996
_45_,VPWR,li1,14.4900,13.6000,1.799995
_44_,VPWR,li1,8.9700,24.4800,1.799996
_43_,VPWR,li1,15.4100,24.4800,1.799996
_42_,VPWR,li1,10.3500,19.0400,1.799995
_41_,VPWR,li1,8.9700,19.0400,1.799995
_40_,VPWR,li1,11.2700,19.0400,1.799995
_39_,VPWR,li1,8.9700,19.0400,1.799995
